PERMNO,date,TICKER,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
14593,20200102,AAPL,295.19000,300.60001,300.35001,300.57999,300.60001,296.23999
14593,20200103,AAPL,296.50000,300.57999,297.42999,297.38000,297.41000,297.14999
14593,20200106,AAPL,292.75000,299.95999,299.79999,299.75000,299.78000,293.79001
14593,20200107,AAPL,297.48001,300.89999,298.39001,298.26999,298.37000,299.84000
14593,20200108,AAPL,297.15601,304.43991,303.19000,303.17001,303.17999,297.16000
14593,20200109,AAPL,306.20001,310.42999,309.63000,309.70001,309.72000,307.23499
14593,20200110,AAPL,308.25000,312.67001,310.32999,310.37000,310.38000,310.60001
14593,20200113,AAPL,311.14999,317.07001,316.95999,316.95999,316.97000,311.64001
14593,20200114,AAPL,312.17001,317.57001,312.67999,312.69000,312.70001,316.70001
14593,20200115,AAPL,309.54999,315.50000,311.34000,311.48999,311.50000,311.85001
14593,20200116,AAPL,312.09000,315.70001,315.23999,315.32001,315.35999,313.59000
14593,20200117,AAPL,315.00000,318.73999,318.73001,318.66000,318.67001,316.26999
14593,20200121,AAPL,316.00000,319.01999,316.57001,316.57001,316.59000,317.19000
14593,20200122,AAPL,317.31000,319.98999,317.70001,317.70001,317.70999,318.57999
14593,20200123,AAPL,315.64999,319.56000,319.23001,319.23999,319.29001,317.92001
14593,20200124,AAPL,317.51880,323.32999,318.31000,318.25000,318.32999,320.25000
14593,20200127,AAPL,304.88000,311.76999,308.95001,308.95001,308.97000,310.06000
14593,20200128,AAPL,312.19000,318.39999,317.69000,317.69000,317.76001,312.60001
14593,20200129,AAPL,321.38000,327.85001,324.34000,324.32001,324.34000,324.45001
14593,20200130,AAPL,318.75000,324.09000,323.87000,323.85999,323.89999,320.54401
14593,20200131,AAPL,308.29001,322.67999,309.51001,309.34000,309.39999,320.92999
14593,20200203,AAPL,302.22000,313.48999,308.66000,308.67999,308.72000,304.29999
14593,20200204,AAPL,313.63449,319.64001,318.85001,318.85001,318.85999,315.31000
14593,20200205,AAPL,318.95001,324.76001,321.45001,321.53000,321.57999,323.51999
14593,20200206,AAPL,320.26480,325.22000,325.20999,325.20001,325.22000,322.57001
14593,20200207,AAPL,318.00000,323.39999,320.03000,320.03000,320.04001,322.37000
14593,20200210,AAPL,313.85001,321.54999,321.54999,321.54001,321.54999,314.17999
14593,20200211,AAPL,318.70999,323.89999,319.60999,319.60001,319.60999,323.60001
14593,20200212,AAPL,321.47000,327.22000,327.20001,327.19000,327.22000,321.47000
14593,20200213,AAPL,323.35001,326.22000,324.87000,324.87000,324.95001,324.19000
14593,20200214,AAPL,322.85001,325.98001,324.95001,324.94000,324.95001,324.73999
14593,20200218,AAPL,314.60999,319.75000,319.00000,319.00000,319.01001,315.35999
14593,20200219,AAPL,320.00000,324.57001,323.62000,323.62000,323.63000,320.00000
14593,20200220,AAPL,318.20999,324.64999,320.29999,320.29999,320.32001,322.63000
14593,20200221,AAPL,310.50000,320.45001,313.04999,313.03000,313.04001,318.62000
14593,20200224,AAPL,289.23001,304.17999,298.17999,298.17001,298.17999,297.26001
14593,20200225,AAPL,286.13000,302.53000,288.07999,288.07999,288.09000,300.95001
14593,20200226,AAPL,286.50000,297.88000,292.64999,292.63000,292.64999,286.53000
14593,20200227,AAPL,272.95999,286.00000,273.51999,273.04001,273.10999,281.10001
14593,20200228,AAPL,256.37000,278.41000,273.35999,274.57999,274.63000,257.26001
14593,20200302,AAPL,277.72000,301.44000,298.81000,298.78000,298.82001,282.28000
14593,20200303,AAPL,285.79999,304.00000,289.32001,289.25000,289.32001,303.67001
14593,20200304,AAPL,293.13000,303.39999,302.73999,302.76001,302.91000,296.44000
14593,20200305,AAPL,291.41000,299.54999,292.92001,292.92001,292.92999,295.51999
14593,20200306,AAPL,281.23001,290.82001,289.03000,288.89999,289.00000,282.00000
14593,20200309,AAPL,263.00000,278.09000,266.17001,266.09000,266.10001,263.75000
14593,20200310,AAPL,269.37000,286.44000,285.34000,285.67001,285.69000,277.14001
14593,20200311,AAPL,271.85999,281.22000,275.42999,275.29999,275.31000,277.39001
14593,20200312,AAPL,248.00000,270.00000,248.23000,248.00000,248.12000,255.94000
14593,20200313,AAPL,252.95000,279.92001,277.97000,278.04999,278.06000,264.89001
14593,20200316,AAPL,240.00000,259.07999,242.21001,241.46001,241.47000,241.95000
14593,20200317,AAPL,238.39999,257.60999,252.86000,252.85001,252.86000,247.50999
14593,20200318,AAPL,237.12000,250.00000,246.67000,249.00000,249.03000,239.77000
