PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
19561,20200102,327.70001,333.35001,333.32001,333.34000,333.35001,328.54999
19561,20200103,330.29999,334.89001,332.76001,332.64999,332.76001,330.63000
19561,20200106,327.88000,334.85999,333.73999,333.70001,333.73001,329.29999
19561,20200107,330.70999,344.19000,337.28000,337.20999,337.22000,334.26001
19561,20200108,329.60001,334.03000,331.37000,331.29001,331.42001,332.39999
19561,20200109,332.04999,341.73001,336.34000,336.25000,336.29001,334.95001
19561,20200110,329.45480,337.70001,329.92001,329.98001,330.10001,335.56000
19561,20200113,330.07999,334.10001,330.22000,330.14001,330.14999,332.39999
19561,20200114,328.28000,335.35001,332.35001,332.29001,332.34000,330.76001
19561,20200115,329.69000,333.10999,329.79999,329.82999,329.95001,332.35001
19561,20200116,329.31000,332.87000,332.00000,331.91000,331.92001,331.04999
19561,20200117,323.00000,332.50000,324.14999,324.04999,324.10999,332.39001
19561,20200121,305.75000,326.59991,313.37000,313.38000,313.39999,322.60001
19561,20200122,302.72000,312.83990,309.00000,309.00000,309.01001,309.82001
19561,20200123,307.70001,318.17001,317.79001,317.69000,317.70999,308.50000
19561,20200124,312.51001,326.20001,323.04999,323.04001,323.04999,322.00000
19561,20200127,314.58191,321.25641,316.60001,316.59000,316.60001,316.20999
19561,20200128,314.00000,319.35501,316.56000,316.45001,316.56000,318.04999
19561,20200129,319.14001,327.17499,322.01999,321.82999,321.84000,324.35001
19561,20200130,317.63501,325.35001,323.29999,323.22000,323.23001,320.50000
19561,20200131,316.98999,321.92999,318.26999,318.01001,318.14999,321.75000
19561,20200203,314.88000,320.73990,316.00000,316.13000,316.14001,318.75000
19561,20200204,315.03000,319.48001,317.94000,317.89999,318.06000,318.28000
19561,20200205,319.23001,329.67999,329.54999,329.53000,329.60001,320.50000
19561,20200206,325.66000,343.44000,341.42999,341.34000,341.45999,330.91000
19561,20200207,335.69000,340.73999,336.75000,336.76999,336.78000,340.37000
19561,20200210,336.32010,345.94000,344.67001,344.60001,344.67001,337.22000
