PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
18729,20200102,67.89000,68.94000,68.12000,68.12000,68.14000,68.84000
18729,20200103,67.67500,68.47000,68.02000,68.01000,68.02000,67.84000
18729,20200106,68.01000,68.85000,68.49000,68.48000,68.49000,68.08000
18729,20200107,67.47500,68.46000,67.55000,67.55000,67.56000,68.46000
18729,20200108,67.73000,69.65000,69.27000,69.26000,69.28000,67.80000
18729,20200109,69.06000,69.94500,69.86000,69.85000,69.86000,69.38000
18729,20200110,69.45500,70.42830,70.15000,70.16000,70.17000,69.73000
18729,20200113,69.80000,70.56000,70.14000,70.12000,70.13000,70.16000
18729,20200114,70.03000,70.40000,70.29000,70.28000,70.29000,70.14000
18729,20200115,70.34000,71.05000,70.80000,70.79000,70.80000,70.34000
18729,20200116,70.67000,71.17500,70.75000,70.74000,70.75000,70.96000
18729,20200117,70.43000,71.30000,71.18000,71.17000,71.18000,70.43000
18729,20200121,70.25000,71.38000,71.29000,71.27000,71.28000,71.07000
18729,20200122,70.51000,71.08000,70.53000,70.53000,70.54000,70.88000
18729,20200123,70.00000,71.06500,70.61000,70.61000,70.62000,70.07000
18729,20200124,70.08000,71.08000,70.30000,70.29000,70.30000,70.83000
18729,20200127,69.77000,70.79000,70.10000,70.08000,70.09000,70.15000
18729,20200128,69.56000,70.49000,69.71000,69.70000,69.73000,70.12000
18729,20200129,68.81000,69.89000,68.83000,68.82000,68.83000,69.75000
18729,20200130,68.56000,69.70000,69.47000,69.54000,69.57000,68.80000
18729,20200131,73.37000,74.97000,73.78000,73.77000,73.78000,73.64000
18729,20200203,74.06000,75.45500,74.93000,74.92000,74.93000,74.06000
18729,20200204,75.19000,76.20000,75.40000,75.40000,75.41000,75.28000
18729,20200205,74.51000,75.87000,75.73000,75.74000,75.75000,75.25000
18729,20200206,75.83000,76.60000,76.31000,76.31000,76.32000,75.97000
18729,20200207,75.90000,76.51500,76.03000,76.03000,76.04000,76.40000
18729,20200210,75.96000,77.41000,77.35000,77.38000,77.39000,75.96000
18729,20200211,76.10000,77.29000,76.11000,76.11000,76.13000,77.24000
18729,20200212,75.49500,76.32000,75.95000,75.94000,75.95000,76.21000
18729,20200213,75.62500,76.61000,76.37000,76.37000,76.39000,75.72000
18729,20200214,76.11500,76.70000,76.69000,76.68000,76.69000,76.36000
18729,20200218,76.05000,76.69000,76.07000,76.07000,76.08000,76.61000
18729,20200219,75.50000,76.27000,75.54000,75.54000,75.55000,76.00000
18729,20200220,74.25180,75.65000,75.16000,75.14000,75.15000,75.46000
18729,20200221,75.11500,76.54000,76.27000,76.26000,76.27000,75.19000
18729,20200224,71.19000,75.72000,74.42000,74.41000,74.42000,71.71000
18729,20200225,73.52000,74.99000,73.80000,73.80000,73.81000,74.40000
18729,20200226,72.90000,74.47500,72.92000,72.92000,72.93000,74.00000
18729,20200227,70.13000,73.72000,70.15000,70.13000,70.14000,73.06000
18729,20200228,66.32000,69.35500,67.57000,67.61000,67.63000,68.99000
18729,20200302,68.51000,72.56000,72.44000,72.44000,72.45000,68.51000
18729,20200303,71.24000,74.11000,71.78000,71.75000,71.76000,72.55000
18729,20200304,73.01000,75.47000,75.37000,75.36000,75.37000,73.90000
18729,20200305,71.80000,74.33000,72.34000,72.34000,72.36000,73.71000
18729,20200306,69.51000,72.75500,72.51000,72.55000,72.56000,70.37000
18729,20200309,69.00000,71.61000,69.99000,69.94000,69.96000,69.30000
18729,20200310,68.09000,72.01000,71.81000,71.81000,71.84000,71.62000
18729,20200311,67.78000,70.81000,68.90000,68.90000,68.91000,70.14000
18729,20200312,63.20000,67.45000,63.89000,63.88000,63.89000,64.93000
18729,20200313,64.20000,69.21000,69.10000,69.13000,69.14000,66.43000
18729,20200316,62.04000,66.31000,62.34000,62.33000,62.34000,62.16000
18729,20200317,63.31000,70.43000,70.20000,70.19000,70.20000,64.19000
18729,20200318,65.35000,72.14000,67.69000,67.69000,67.70000,67.80000
18729,20200319,65.06000,68.99000,66.65000,66.65000,66.66000,67.98000
18729,20200320,61.39000,66.85250,62.08000,61.84000,61.85000,66.74000
18729,20200323,58.49000,63.47000,60.47000,60.41000,60.42000,62.09000
18729,20200324,59.61000,65.88000,61.18000,61.08000,61.09000,61.11000
18729,20200325,59.01000,62.22000,59.89000,59.90000,59.92000,60.76000
18729,20200326,60.19000,64.34000,63.82000,63.67000,63.71000,60.36000
18729,20200327,63.36000,66.63000,65.26000,65.32000,65.33000,64.03000
18729,20200330,64.97000,66.93000,66.58000,66.58000,66.60000,65.99000
18729,20200331,64.96000,66.49000,66.36000,66.35000,66.36000,66.01000
18729,20200401,64.09000,65.85000,65.55000,65.54000,65.55000,64.75000
