PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
11267,20200102,17.14000,17.46000,17.19000,17.19000,17.20000,17.46000
11267,20200103,17.00000,17.45000,17.32000,17.32000,17.33000,17.02000
11267,20200106,17.23000,17.78000,17.56000,17.56000,17.57000,17.28000
11267,20200107,17.34000,17.83000,17.39000,17.39000,17.40000,17.56000
11267,20200108,17.42000,17.97500,17.58000,17.58000,17.59000,17.42000
11267,20200109,16.39000,17.62000,16.45000,16.44000,16.46000,17.56000
11267,20200110,15.84750,16.43000,16.09000,16.08000,16.10000,16.37000
11267,20200113,15.84000,16.20000,16.06000,16.06000,16.07000,16.06000
11267,20200114,15.89000,16.16500,16.02000,16.02000,16.03000,16.02000
11267,20200115,15.79000,16.30000,15.83000,15.83000,15.84000,15.93000
11267,20200116,15.98000,16.36000,15.99000,15.99000,16.00000,16.06000
11267,20200117,15.89000,16.26000,16.22000,16.22000,16.23000,16.10000
11267,20200121,16.05000,16.26000,16.08000,16.08000,16.09000,16.24000
11267,20200122,16.04000,16.42000,16.05000,16.05000,16.06000,16.13000
11267,20200123,15.90000,16.37000,16.10000,16.10000,16.11000,15.97000
11267,20200124,15.79000,16.12000,15.81000,15.81000,15.83000,16.10000
11267,20200127,15.46000,15.81500,15.46000,15.46000,15.47000,15.66000
11267,20200128,15.42700,15.89000,15.86000,15.86000,15.87000,15.55000
11267,20200129,15.82000,16.31000,16.24000,16.24000,16.25000,15.82000
11267,20200130,16.15000,16.61000,16.60000,16.59000,16.60000,16.15000
11267,20200131,15.95000,16.55000,16.04000,16.03000,16.04000,16.55000
11267,20200203,16.06500,16.65000,16.48000,16.48000,16.49000,16.16000
11267,20200204,15.43000,16.84000,15.48000,15.48000,15.49000,16.84000
11267,20200205,15.49000,15.74000,15.72000,15.72000,15.73000,15.56000
11267,20200206,15.54000,15.84000,15.64000,15.64000,15.65000,15.78000
11267,20200207,15.42000,15.89000,15.88000,15.88000,15.89000,15.62000
11267,20200210,15.84000,16.24610,16.14000,16.14000,16.15000,16.03000
11267,20200211,16.09000,16.60000,16.59000,16.59000,16.60000,16.14000
11267,20200212,16.67000,17.28000,17.18000,17.18000,17.19000,16.71000
11267,20200213,16.99000,17.37000,17.36000,17.35000,17.36000,17.13000
11267,20200214,16.79000,17.42000,16.98000,16.99000,17.00000,17.37000
11267,20200218,16.72000,17.17000,17.07000,17.07000,17.08000,16.98000
11267,20200219,16.87000,17.19000,17.11000,17.10000,17.11000,17.10000
11267,20200220,16.93000,17.38000,17.28000,17.27000,17.28000,16.96000
11267,20200221,17.02000,17.32000,17.10000,17.09000,17.10000,17.32000
11267,20200224,16.66000,17.05000,16.95000,16.94000,16.95000,16.69000
11267,20200225,16.34000,16.98000,16.58000,16.57000,16.58000,16.98000
11267,20200226,16.19000,16.89000,16.19000,16.19000,16.20000,16.65000
11267,20200227,15.45000,16.38000,15.93000,15.93000,15.95000,15.94000
11267,20200228,15.41000,16.30000,16.17000,16.16000,16.19000,15.41000
11267,20200302,15.86000,16.51000,16.08000,16.07000,16.08000,16.21000
11267,20200303,15.35000,16.41000,15.53000,15.53000,15.54000,16.04000
11267,20200304,15.39000,15.97000,15.80000,15.80000,15.83000,15.57000
11267,20200305,13.45000,15.48000,13.77000,13.74000,13.75000,15.48000
11267,20200306,12.92000,14.23000,14.12000,14.11000,14.12000,12.92000
11267,20200309,12.66000,14.47000,14.08000,14.07000,14.08000,12.66000
11267,20200310,13.42000,14.65000,14.07000,14.04000,14.05000,14.31000
11267,20200311,13.29000,13.91000,13.41000,13.40000,13.41000,13.78000
11267,20200312,12.00000,13.08000,12.21000,12.20000,12.21000,12.87000
11267,20200313,12.21000,12.96000,12.75000,12.74000,12.75000,12.74000
11267,20200316,11.44000,12.15000,11.57000,11.56000,11.57000,12.00000
11267,20200317,11.26000,12.33000,12.28000,12.26000,12.28000,11.80000
11267,20200318,9.66000,12.30000,10.75000,10.75000,10.76000,11.75000
11267,20200319,10.35000,13.61000,11.84000,11.83000,11.84000,10.71000
11267,20200320,11.09000,12.18000,11.28000,11.29000,11.30000,11.85000
11267,20200323,11.06500,12.12000,11.60000,11.64000,11.65000,11.31000
11267,20200324,11.82000,12.72000,11.94000,11.93000,11.94000,12.20000
11267,20200325,11.56000,12.50000,11.88000,11.80000,11.81000,12.00000
11267,20200326,11.98000,12.63000,12.42000,12.35000,12.36000,11.98000
11267,20200327,11.83000,12.40000,12.04000,12.04000,12.05000,12.03000
11267,20200330,10.24000,12.02000,10.38000,10.36000,10.37000,12.00000
11267,20200331,9.89000,11.00500,10.67000,10.56000,10.57000,10.18000
11267,20200401,9.52000,10.46000,9.66000,9.65000,9.66000,10.23000
11267,20200402,8.89000,9.80000,9.24000,9.23000,9.24000,9.50000
11267,20200403,8.52000,9.21000,8.84000,8.81000,8.82000,9.15000
11267,20200406,9.05000,10.01000,9.95000,9.93000,9.94000,9.06000
11267,20200407,10.19000,10.89000,10.26000,10.26000,10.27000,10.24000
11267,20200408,9.99000,10.77000,10.23000,10.21000,10.22000,10.46000
11267,20200409,10.28000,11.02000,10.87000,10.88000,10.89000,10.45000
11267,20200413,10.20000,10.98000,10.93000,10.92000,10.93000,10.82000
11267,20200414,10.42000,11.10000,10.66000,10.66000,10.67000,10.93000
11267,20200415,9.58000,10.53000,9.96000,9.95000,9.96000,10.53000
11267,20200416,9.75000,10.52000,10.41000,10.40000,10.41000,9.93000
11267,20200417,10.54520,11.37000,10.71000,10.71000,10.72000,10.73000
11267,20200420,10.13500,10.56000,10.28000,10.26000,10.27000,10.35000
11267,20200421,9.70000,10.21000,9.84000,9.85000,9.86000,10.09000
11267,20200422,9.57000,10.05000,9.66000,9.65000,9.66000,9.98000
11267,20200423,9.44000,9.92000,9.60000,9.60000,9.61000,9.60000
11267,20200424,9.27000,9.71000,9.63000,9.63000,9.64000,9.63000
11267,20200427,9.73000,10.33000,10.24000,10.23000,10.24000,9.75000
11267,20200428,10.57000,11.09000,10.98000,10.99000,11.00000,10.60000
11267,20200429,11.16000,11.92000,11.59000,11.59000,11.60000,11.51000
11267,20200430,11.09000,11.54000,11.26000,11.26000,11.27000,11.54000
11267,20200501,10.82000,11.40000,11.38000,11.37000,11.38000,10.87000
11267,20200504,10.60500,11.27320,10.90000,10.90000,10.91000,11.14000
11267,20200505,10.51000,11.21000,10.53000,10.53000,10.54000,10.99000
11267,20200506,10.00000,10.69000,10.05000,10.06000,10.07000,10.50000
11267,20200507,10.13000,10.70000,10.41000,10.41000,10.42000,10.24000
11267,20200508,10.60000,10.96000,10.86000,10.83000,10.84000,10.72000
11267,20200511,10.44500,10.89000,10.57000,10.57000,10.58000,10.61000
11267,20200512,10.39000,10.68000,10.49000,10.49000,10.50000,10.57000
11267,20200513,9.58000,10.31000,9.82000,9.80000,9.82000,10.31000
11267,20200514,9.35000,9.95000,9.72000,9.71000,9.72000,9.51000
11267,20200515,9.54000,10.29000,10.13000,10.12000,10.13000,9.65000
11267,20200518,10.57000,11.19000,11.09000,11.08000,11.09000,10.57000
11267,20200519,10.75500,11.25000,10.83000,10.83000,10.84000,10.97000
11267,20200520,10.70000,10.99500,10.88000,10.89000,10.90000,10.97000
11267,20200521,10.25000,10.79000,10.45000,10.44000,10.45000,10.79000
11267,20200522,9.79000,10.62000,10.20000,10.19000,10.20000,10.40000
11267,20200526,10.26000,10.66000,10.50000,10.49000,10.50000,10.50000
11267,20200527,10.38000,10.95000,10.65000,10.64000,10.65000,10.80000
11267,20200528,10.14000,10.82000,10.18000,10.18000,10.20000,10.82000
11267,20200529,9.68000,10.17000,9.70000,9.69000,9.70000,10.06000
11267,20200601,9.11000,9.88000,9.11000,9.14000,9.15000,9.70000
11267,20200602,9.16000,9.53000,9.37000,9.37000,9.38000,9.24000
11267,20200603,9.67000,10.14000,10.04000,10.04000,10.05000,9.67000
11267,20200604,9.87000,10.29000,10.17000,10.16000,10.17000,9.89000
11267,20200605,10.59000,11.12000,10.68000,10.67000,10.68000,10.70000
11267,20200608,10.58000,11.06000,10.79000,10.79000,10.81000,10.78000
11267,20200609,10.51000,10.95000,10.69000,10.69000,10.70000,10.71000
11267,20200610,9.46000,10.51000,9.47000,9.46000,9.47000,10.51000
11267,20200611,8.86000,9.10000,8.86000,8.86000,8.87000,9.04000
11267,20200612,8.50000,9.22000,8.69000,8.69000,8.70000,9.15000
11267,20200615,8.09000,8.67510,8.29000,8.29000,8.30000,8.49000
11267,20200616,8.59000,9.08000,8.78000,8.78000,8.79000,8.70000
11267,20200617,8.28000,8.85000,8.33000,8.33000,8.34000,8.85000
11267,20200618,8.08000,8.45000,8.27000,8.27000,8.28000,8.25000
11267,20200619,8.03000,8.49000,8.10000,8.08000,8.09000,8.40000
11267,20200622,7.78000,8.35000,8.33000,8.33000,8.34000,8.08000
11267,20200623,8.20000,8.56000,8.36000,8.36000,8.37000,8.45000
11267,20200624,8.11000,8.49000,8.31000,8.31000,8.32000,8.25000
11267,20200625,8.09000,8.38000,8.19000,8.19000,8.20000,8.23000
11267,20200626,7.56000,8.22000,8.07000,8.05000,8.06000,8.10000
