PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
19350,20200102,173.73000,176.88000,176.86000,176.86000,176.88000,174.24001
19350,20200103,173.55000,175.75999,175.55000,175.48000,175.52000,174.21001
19350,20200106,173.73500,176.88000,176.81000,176.77000,176.78000,174.48000
19350,20200107,173.49010,176.44000,173.74001,173.70000,173.73000,176.00999
19350,20200108,173.99001,176.78000,175.89999,175.96001,175.97000,174.50000
19350,20200109,176.11000,178.39000,177.60001,177.55000,177.56000,176.53000
19350,20200110,173.41000,178.39999,173.42999,173.42999,173.44000,178.10001
19350,20200113,173.57001,175.03999,174.74001,174.71001,174.74001,174.08000
19350,20200114,173.42999,175.05000,173.67000,173.64999,173.66000,174.88000
19350,20200115,172.14999,175.14999,172.92000,172.91000,172.95000,173.12000
19350,20200116,173.05000,175.56000,175.47000,175.49001,175.53000,174.00000
19350,20200117,175.53000,177.00999,176.20000,176.17999,176.19000,175.71001
19350,20200121,172.39000,175.42999,172.56000,172.61000,172.62000,175.10001
19350,20200122,170.62000,173.66000,171.16000,171.14999,171.16000,173.07001
19350,20200123,168.66000,172.17999,172.06000,172.05000,172.06000,170.28000
19350,20200124,169.03999,172.05000,170.12000,170.13000,170.14000,172.05000
19350,20200127,162.92999,167.99001,163.28000,163.25000,163.25999,166.17999
19350,20200128,162.39999,165.67000,162.98000,162.94000,162.96001,164.80000
19350,20200129,160.00000,163.91000,160.16000,160.09000,160.10001,163.91000
19350,20200130,158.53500,161.84000,161.11000,161.10001,161.14999,159.00000
19350,20200131,157.32800,161.22000,158.58000,158.55000,158.56000,159.72000
19350,20200203,157.28000,161.42999,158.28999,158.17999,158.24001,159.44000
19350,20200204,160.64999,165.12000,164.42999,164.42999,164.47000,161.33000
19350,20200205,166.50999,168.77000,168.35001,168.35001,168.38000,167.42999
19350,20200206,166.05000,169.14999,168.86000,168.89999,168.92999,168.75000
19350,20200207,166.66000,168.89999,167.45000,167.47000,167.49001,167.42000
19350,20200210,166.13000,168.28999,168.24001,168.24001,168.25000,166.46001
19350,20200211,168.60001,171.06000,170.25999,170.25000,170.25999,169.10001
19350,20200212,170.21001,173.20000,171.83000,171.77000,171.81000,172.00000
19350,20200213,169.86000,171.90500,170.75999,170.89000,170.89999,170.86000
19350,20200214,167.17999,172.31000,168.07001,168.03999,168.07001,170.83000
19350,20200218,164.21001,167.44000,166.30000,166.22000,166.24001,167.39999
19350,20200219,164.85001,167.24001,164.92999,164.92999,164.94000,166.50000
19350,20200220,164.50000,166.75000,165.83000,165.70000,165.87000,164.75999
19350,20200221,176.00000,181.99001,177.42999,177.45000,177.46001,177.91000
19350,20200224,171.50000,176.36000,171.86000,171.85001,171.86000,172.50999
19350,20200225,165.80000,172.94501,166.64999,166.50999,166.52000,172.17999
19350,20200226,165.61000,169.38000,166.92000,166.89999,166.91000,168.28000
19350,20200227,159.96001,166.55000,159.99001,159.98000,159.99001,164.39999
19350,20200228,152.66000,158.92000,156.48000,156.48000,156.49001,155.28999
19350,20200302,156.55000,164.00000,163.92000,163.92000,163.92999,157.92000
19350,20200303,157.00000,167.87000,157.78000,157.86000,157.87000,164.34000
19350,20200304,160.51540,163.29500,163.07001,163.06000,163.07001,161.24001
19350,20200305,157.92000,162.19000,159.07001,159.14999,159.20000,158.83000
19350,20200306,153.66949,164.94000,164.03999,164.00000,164.00999,154.20000
19350,20200309,147.12500,158.25000,150.00000,149.98000,149.99001,152.00999
19350,20200310,148.00999,156.33000,154.99001,154.97000,154.98000,155.62000
19350,20200311,143.85001,151.16000,145.88000,145.88000,145.91000,150.85001
19350,20200312,128.08521,136.53999,130.39000,130.32001,130.33000,135.00000
19350,20200313,130.53000,139.28999,138.96001,138.95000,138.96001,137.92999
19350,20200316,119.84000,132.87000,120.05000,120.05000,120.06000,123.90000
