PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
13407,20200102,206.27000,209.78999,209.78000,209.77000,209.78000,206.75000
13407,20200103,206.95000,210.39999,208.67000,208.50999,208.58000,207.21400
13407,20200106,206.52000,212.78000,212.60001,212.57001,212.60001,206.70000
13407,20200107,211.75000,214.58000,213.06000,213.05000,213.06000,212.82001
13407,20200108,212.61211,216.24001,215.22000,215.27000,215.31000,213.00000
13407,20200109,216.27800,218.38000,218.30000,218.30000,218.34000,217.53999
13407,20200110,217.42000,219.88000,218.06000,218.07001,218.08000,219.20000
13407,20200113,219.21001,221.97000,221.91000,221.95000,221.96001,219.59700
13407,20200114,218.63000,222.38000,219.06000,219.06000,219.09000,221.61000
13407,20200115,220.14000,221.67999,221.14999,221.19000,221.21001,220.61000
13407,20200116,220.39000,222.63000,221.77000,221.84000,221.86000,222.57001
13407,20200117,220.53000,222.28999,222.14000,222.12000,222.13000,222.03000
13407,20200121,219.12000,222.37000,221.44000,221.47000,221.48000,222.15500
13407,20200122,221.28000,222.75000,221.32001,221.28000,221.28999,222.31000
13407,20200123,219.27000,221.48500,219.75999,219.64999,219.75999,220.75000
13407,20200124,216.11000,221.78000,217.94000,217.89000,217.92999,220.80000
13407,20200127,212.50000,216.06000,214.87000,214.87000,214.92000,213.10001
13407,20200128,213.52000,218.74001,217.78999,217.77000,217.80000,216.14000
13407,20200129,218.45000,224.20000,223.23000,223.27000,223.31000,221.44000
13407,20200130,204.75000,211.42999,209.53000,209.55000,209.60001,206.53000
13407,20200131,201.06000,208.69000,201.91000,201.89000,201.91000,208.42999
13407,20200203,202.50000,205.14000,204.19000,204.19000,204.20000,203.44000
13407,20200204,205.20250,210.60001,209.83000,209.84000,209.86000,206.61650
13407,20200205,208.71001,212.73000,210.11000,210.21001,210.23000,212.50999
13407,20200206,209.33800,211.19000,210.85001,210.85001,210.88000,210.47000
13407,20200207,209.92999,212.82001,212.33000,212.33000,212.34000,210.30000
13407,20200210,210.66000,213.80000,213.06000,213.10001,213.11000,211.52000
13407,20200211,206.51019,210.86000,207.19000,207.14999,207.19000,210.19000
13407,20200212,207.39999,211.22000,210.75999,210.75000,210.75999,207.85001
13407,20200213,209.17999,214.32590,213.14000,213.11000,213.14000,209.52350
13407,20200214,212.64999,214.92999,214.17999,214.17999,214.23000,214.00000
13407,20200218,213.39999,217.97501,217.80000,217.73000,217.80000,213.55000
13407,20200219,216.11000,218.32001,217.49001,217.49001,217.50000,217.99001
13407,20200220,212.94501,218.76500,214.58000,214.57001,214.59000,216.52000
13407,20200221,208.83051,214.23700,210.17999,210.14999,210.17000,213.48000
13407,20200224,198.17000,203.64999,200.72000,200.72000,200.74001,201.80000
13407,20200225,195.95370,203.50000,196.77000,196.63000,196.64999,202.25000
13407,20200226,195.49001,201.21001,197.20000,197.14999,197.20000,197.19000
13407,20200227,189.50000,195.88000,189.75000,189.69000,189.70000,191.82001
13407,20200228,181.82001,192.74001,192.47000,192.64000,192.74001,182.69501
13407,20200302,188.85001,196.57001,196.44000,196.49001,196.53999,194.03000
13407,20200303,183.97000,197.24001,185.89000,185.82001,185.89000,196.22000
13407,20200304,186.39000,191.83000,191.75999,191.78000,191.78999,189.17000
13407,20200305,183.89011,188.99001,185.17000,185.00999,185.02000,186.78000
13407,20200306,176.25999,183.78000,181.09000,181.14000,181.17999,178.33000
13407,20200309,165.19000,175.00000,169.50000,168.53999,168.64000,169.60001
13407,20200310,169.50000,178.28999,178.19000,178.19000,178.20000,174.67000
13407,20200311,167.66000,175.88000,170.24001,170.22000,170.23000,174.00999
13407,20200312,154.34000,166.60001,154.47000,154.46001,154.47000,159.53999
13407,20200313,157.60001,170.78999,170.28000,170.61000,170.62000,163.53000
13407,20200316,143.10001,159.13000,146.00999,145.95000,146.00000,152.32001
13407,20200317,140.00000,153.94000,149.42000,149.41000,149.42000,150.74001
