PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
60628,20200102,151.60010,155.10001,155.10001,155.07001,155.08000,152.42000
60628,20200103,151.84000,153.34000,153.17999,153.11000,153.16000,152.50000
60628,20200106,150.17000,153.55000,153.30000,153.32001,153.33000,151.25000
60628,20200107,152.33960,155.22000,154.80000,154.80000,154.84000,153.36000
60628,20200108,153.92999,157.75000,157.13000,157.12000,157.13000,154.57001
60628,20200109,156.59000,158.31490,158.05000,158.10001,158.11000,157.95000
60628,20200110,156.14000,158.42560,156.63000,156.61000,156.63000,158.07001
60628,20200113,156.71001,159.53000,159.28000,159.27000,159.28000,156.72000
60628,20200114,158.62000,164.50000,162.13000,162.12000,162.13000,159.14999
60628,20200115,158.67000,163.02000,159.14999,159.14999,159.17000,163.02000
60628,20200116,158.84000,161.47000,159.53999,159.57001,159.60001,160.59000
60628,20200117,158.55499,161.17999,159.98000,159.98000,160.02000,159.39000
60628,20200121,156.81000,159.16000,157.53000,157.53999,157.56000,159.10001
60628,20200122,155.47000,158.84850,155.53999,155.53999,155.56000,157.49001
60628,20200123,152.72900,155.34000,154.88000,154.88000,154.91000,155.00000
60628,20200124,152.31000,155.64000,154.07001,154.03000,154.03999,155.64000
60628,20200127,147.50999,150.17999,148.49001,148.42000,148.42999,150.11000
60628,20200128,147.11000,149.95000,148.39999,148.39999,148.41000,149.75000
60628,20200129,147.91000,150.07001,148.06000,148.09000,148.10001,149.16000
60628,20200130,143.36000,148.39999,148.25999,148.27000,148.32001,146.00000
60628,20200131,143.58501,147.28860,144.64000,144.63000,144.64000,147.10001
60628,20200203,143.60001,147.39999,143.84000,143.80000,143.81000,145.50000
60628,20200204,146.00000,148.24001,147.50999,147.50999,147.52000,146.37000
60628,20200205,148.82001,150.85001,149.95000,149.94000,149.95000,149.50000
60628,20200206,148.49001,151.38000,148.63000,148.61000,148.63000,151.38000
60628,20200207,146.41701,157.44000,155.66000,155.66000,155.67000,147.30000
60628,20200210,156.20000,160.28999,156.78000,156.78000,156.82001,158.80000
60628,20200211,156.87100,159.56000,158.00000,158.00000,158.03000,158.27000
60628,20200212,157.23000,159.81000,158.50999,158.50000,158.50999,159.20000
60628,20200213,156.48000,161.83000,161.47000,161.47000,161.49001,157.78999
60628,20200214,158.00000,161.28999,158.62000,158.64000,158.64999,160.46001
60628,20200218,156.39211,160.91000,158.57001,158.53999,158.57001,159.31000
60628,20200219,158.83000,161.69000,161.14000,161.13000,161.14000,159.00000
60628,20200220,159.50000,165.25000,164.91000,164.89000,164.91000,161.07001
60628,20200221,161.69000,164.14310,163.25000,163.25000,163.25999,163.25999
60628,20200224,152.62000,157.71500,154.85001,154.81000,154.84000,156.25999
60628,20200225,144.81000,155.80000,145.60001,145.63000,145.66000,155.66000
60628,20200226,143.56000,149.39000,144.53000,144.50999,144.52000,147.42000
60628,20200227,136.48000,145.49001,138.75999,138.72000,138.73000,140.75999
60628,20200228,134.05499,141.19501,141.17000,141.17000,141.17999,135.00000
60628,20200302,135.28000,142.52000,139.75000,139.75000,139.75999,142.17999
60628,20200303,132.56000,142.17000,133.09000,133.16000,133.17000,140.00000
60628,20200304,132.18480,136.46001,136.41000,136.36000,136.42000,135.06000
60628,20200305,128.75000,133.14000,129.92999,129.92999,129.94000,132.00999
60628,20200306,123.79000,130.64999,127.68000,127.70000,127.71000,125.75000
60628,20200309,113.85000,121.58000,115.70000,115.61000,115.63000,120.40000
60628,20200310,113.87000,121.75000,120.67000,120.66000,120.69000,120.14000
60628,20200311,108.53000,118.30300,111.01000,111.00000,111.01000,117.39000
60628,20200312,96.20000,105.18000,97.00000,96.99000,97.00000,103.20000
60628,20200313,96.00000,106.68000,106.63000,106.62000,106.63000,102.46000
60628,20200316,90.49000,99.87000,90.49000,90.49000,90.50000,92.00000
60628,20200317,88.69000,100.15000,94.96000,94.95000,94.96000,92.90000
60628,20200318,89.80200,100.70000,99.68000,99.68000,99.69000,90.39000
60628,20200319,97.37120,116.15500,111.68000,111.63000,111.68000,98.85000
60628,20200320,106.59000,118.70000,111.06000,110.92000,111.06000,113.88000
60628,20200323,107.25000,115.05420,111.76000,111.62000,111.79000,110.94000
60628,20200324,115.43000,121.80000,120.04000,119.64000,119.65000,118.00000
60628,20200325,114.93000,126.94000,118.31000,118.31000,118.37000,121.36000
60628,20200326,119.01000,127.00000,125.60000,125.75000,125.82000,119.36000
60628,20200327,116.00000,124.34500,120.58000,120.68000,120.80000,120.05000
60628,20200330,119.25000,125.61000,124.31000,124.35000,124.42000,122.38000
60628,20200331,119.26190,124.85000,121.26000,121.03000,121.26000,122.50000
60628,20200401,112.30000,118.75000,113.48000,113.57000,113.61000,116.01000
60628,20200402,111.59000,117.30000,116.64000,116.45000,116.62000,112.53000
60628,20200403,107.69000,116.00000,109.22000,109.13000,109.14000,115.24000
60628,20200406,113.01000,119.81000,119.02000,118.82000,118.89000,113.04000
60628,20200407,115.75000,125.48000,115.95000,115.95000,115.96000,124.91000
60628,20200408,119.92000,127.23000,125.54000,125.54000,125.55000,123.00000
60628,20200409,120.16000,130.00000,122.29000,122.23000,122.24000,129.61000
60628,20200413,121.74000,125.19000,123.53000,123.38000,123.39000,125.19000
60628,20200414,122.05160,126.98000,125.08000,125.08000,125.09000,125.74000
60628,20200415,118.15000,121.69000,119.90000,119.84000,119.85000,121.69000
60628,20200416,117.12000,121.00000,119.08000,118.94000,119.01000,119.73000
60628,20200417,120.73000,124.96000,124.85000,124.82000,124.83000,121.00000
60628,20200420,121.83000,125.67000,122.64000,122.63000,122.64000,122.53000
60628,20200421,119.62000,122.17540,120.48000,120.56000,120.57000,120.63000
60628,20200422,118.45260,122.96500,118.54000,118.47000,118.50000,122.52000
60628,20200423,118.50010,122.42000,120.88000,120.78000,120.88000,118.64000
60628,20200424,119.48000,123.19000,123.06000,122.95000,123.06000,121.41000
60628,20200427,122.31500,128.50000,127.29000,127.29000,127.30000,124.16000
60628,20200428,125.16000,129.89000,127.74000,127.76000,127.77000,129.81000
60628,20200429,128.46001,131.80000,129.48000,129.56000,129.57001,130.00000
60628,20200430,125.75000,127.93000,126.77000,126.74000,126.77000,127.93000
