PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
91611,20200102,55.96000,57.26000,57.24000,57.24000,57.28000,56.40000
91611,20200103,56.71000,57.66000,57.02000,57.02000,57.04000,57.11000
91611,20200106,54.78000,56.42000,55.83000,55.83000,55.84000,56.01000
91611,20200107,55.76000,57.31000,56.67000,56.68000,56.71000,55.76000
91611,20200108,56.16000,57.10710,56.70000,56.69000,56.71000,56.86000
91611,20200109,56.45000,58.04000,56.70000,56.66000,56.70000,57.07000
91611,20200110,55.83000,56.81000,56.50000,56.50000,56.53000,56.74000
91611,20200113,56.60000,58.35000,57.44000,57.43000,57.49000,56.86000
91611,20200114,57.30000,59.10000,58.78000,58.78000,58.79000,57.50000
91611,20200115,52.75000,55.69000,54.75000,54.74000,54.75000,55.21000
91611,20200116,53.55000,54.87000,53.93000,53.91000,53.92000,54.03000
91611,20200117,52.90010,54.60000,53.52000,53.50000,53.52000,54.05000
91611,20200121,51.33500,53.48000,51.55000,51.53000,51.56000,53.48000
91611,20200122,50.46000,51.83000,50.56000,50.54000,50.56000,51.83000
91611,20200123,50.21000,52.37000,52.02000,51.95000,51.96000,50.46000
91611,20200124,51.67000,53.38000,51.94000,51.92000,51.93000,52.61000
91611,20200127,50.44000,51.23000,50.49000,50.46000,50.49000,51.14000
91611,20200128,50.60000,51.33500,51.11000,51.09000,51.11000,50.72000
91611,20200129,50.72650,51.52000,50.90000,50.89000,50.91000,51.18000
91611,20200130,50.11000,51.10000,50.72000,50.71000,50.72000,50.60000
91611,20200131,49.24500,50.73000,49.58000,49.57000,49.59000,50.60000
91611,20200203,49.69000,50.60000,50.24000,50.24000,50.25000,49.88000
91611,20200204,51.01000,52.69000,52.67000,52.66000,52.67000,51.21000
91611,20200205,52.60000,54.06990,53.10000,53.16000,53.18000,53.40000
91611,20200206,52.61000,53.68000,52.65000,52.62000,52.64000,53.49000
91611,20200207,52.07000,52.77880,52.46000,52.42000,52.46000,52.27000
91611,20200210,52.25000,53.16000,52.75000,52.74000,52.77000,52.48000
91611,20200211,53.15500,54.23000,53.52500,53.52000,53.53000,53.31000
91611,20200212,54.00000,56.17000,56.12000,56.11000,56.12000,54.25000
91611,20200213,53.71000,55.78000,54.61000,54.60000,54.61000,55.78000
91611,20200214,54.40430,55.44000,55.26000,55.25000,55.28000,54.88000
91611,20200218,55.02000,56.17000,55.65000,55.64000,55.65000,55.54000
91611,20200219,56.01000,58.00000,57.37000,57.37000,57.38000,56.16000
91611,20200220,56.91100,59.90000,59.32000,59.34000,59.41000,58.26000
91611,20200221,50.27000,53.39000,50.59000,50.58000,50.59000,53.00000
91611,20200224,48.03000,51.38000,51.21000,51.20000,51.21000,48.27000
91611,20200225,48.48000,51.87000,48.57000,48.51000,48.57000,51.80000
91611,20200226,46.04000,49.54000,46.11000,46.10000,46.13000,48.80000
91611,20200227,43.34000,46.16000,44.25000,44.23000,44.26000,44.68000
