PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
22111,20200102,145.08000,146.02000,145.97000,145.98000,146.00000,145.87000
22111,20200103,143.00000,145.37300,144.28000,144.21001,144.25999,143.50000
22111,20200106,142.85001,144.20000,144.10001,144.11000,144.12000,144.00000
22111,20200107,141.38000,145.45000,144.98000,144.96001,144.97000,144.00999
22111,20200108,143.70000,145.98000,144.96001,144.98000,145.02000,144.87000
22111,20200109,144.99001,146.03000,145.39000,145.39000,145.41000,145.75999
22111,20200110,144.89999,146.17999,145.06000,145.06000,145.09000,145.75000
22111,20200113,144.72000,145.78999,145.70000,145.67999,145.70000,145.48000
22111,20200114,144.73000,146.61000,146.52000,146.45000,146.50999,145.05000
22111,20200115,146.24001,147.39500,147.00999,147.03999,147.05000,146.39999
22111,20200116,146.20000,148.84000,148.20000,148.20000,148.21001,147.42000
22111,20200117,147.92999,149.41000,149.17000,149.02000,149.08000,148.41000
22111,20200121,148.50000,150.17000,149.27000,149.41000,149.53999,148.58000
22111,20200122,146.00000,149.17999,148.25000,148.21001,148.22000,146.70000
22111,20200123,146.75500,148.77000,148.53000,148.47000,148.48000,148.03999
22111,20200124,147.92999,148.94501,148.32001,148.31000,148.32001,148.58000
22111,20200127,147.00000,149.46001,148.75000,148.64999,148.66000,147.52000
22111,20200128,148.14999,150.57001,149.50000,149.48000,149.50000,148.46001
22111,20200129,149.13000,151.19000,150.53999,150.53000,150.53999,149.45000
22111,20200130,149.05000,150.50999,150.36000,150.36000,150.37000,150.03000
22111,20200131,148.64000,150.00000,148.87000,148.81000,148.82001,149.75000
22111,20200203,149.24001,150.49001,150.17000,150.11000,150.14999,149.42000
22111,20200204,151.20000,152.75000,151.60001,151.63000,151.64000,151.49001
22111,20200205,151.31000,154.02000,153.99001,153.96001,153.99001,151.72000
22111,20200206,152.74001,154.50000,153.53000,153.52000,153.53000,154.25000
22111,20200207,151.55000,153.45500,151.89000,151.86000,151.88000,153.34000
22111,20200210,150.89110,151.91000,151.86000,151.78000,151.84000,151.67999
22111,20200211,151.53999,152.38000,151.99001,151.99001,152.00000,152.28999
22111,20200212,150.92000,152.14999,151.09000,151.12000,151.13000,151.87000
22111,20200213,149.88000,151.04500,150.09000,150.10001,150.16000,150.16000
22111,20200214,149.14999,150.64000,150.13000,150.09000,150.12000,150.56000
22111,20200218,149.06000,150.74001,149.14000,149.14000,149.17000,150.47000
22111,20200219,148.58000,149.75999,148.94000,148.92999,148.94000,149.21001
22111,20200220,147.40430,149.38000,148.37000,148.37000,148.38000,148.61000
22111,20200221,147.53999,150.24001,149.92999,149.97000,149.98000,148.09000
22111,20200224,145.25000,149.00000,145.91000,146.02000,146.03000,146.50000
22111,20200225,143.83000,146.75000,144.64999,144.66000,144.70000,145.99001
22111,20200226,143.59000,146.22000,143.67999,143.74001,143.75000,145.35001
22111,20200227,138.95000,144.77000,139.12000,139.08000,139.09000,142.56000
22111,20200228,130.82001,137.28999,134.48000,134.48000,134.55000,135.36000
22111,20200302,134.01379,140.13000,140.02000,140.03999,140.07001,134.78000
22111,20200303,133.10001,140.99001,135.59000,135.53999,135.55000,140.00000
22111,20200304,137.14000,143.64000,143.48000,143.44000,143.46001,137.67999
22111,20200305,139.84000,142.67999,142.00999,142.00000,142.00999,140.80000
22111,20200306,137.41000,143.00999,142.03000,142.03000,142.07001,138.48000
22111,20200309,134.89999,139.67990,136.44000,136.23000,136.24001,136.33000
22111,20200310,134.23000,141.95000,141.64000,141.63000,141.70000,139.97000
22111,20200311,131.50000,138.75000,131.80000,131.64999,131.67999,138.09000
22111,20200312,124.50000,133.76500,125.41000,125.28000,125.29000,127.31000
22111,20200313,124.65000,134.92000,134.28999,134.25999,134.28999,129.32001
22111,20200316,122.43000,133.75999,127.13000,126.99000,127.00000,123.57000
22111,20200317,127.81000,136.77000,136.59000,136.58000,136.59000,128.55000
22111,20200318,128.71001,135.66960,134.96001,135.00000,135.00999,131.02000
22111,20200319,126.15000,134.99001,127.05000,127.05000,127.06000,134.99001
22111,20200320,118.13000,127.44000,119.89000,119.57000,119.66000,126.83000
22111,20200323,109.16000,118.56000,111.14000,110.76000,111.12000,117.00000
22111,20200324,113.86000,119.65000,119.18000,119.06000,119.18000,118.76000
22111,20200325,116.70080,123.96000,119.40000,119.40000,119.55000,118.91000
22111,20200326,120.38000,127.10000,126.57000,126.15000,126.43000,120.57000
22111,20200327,120.58000,127.62000,123.16000,123.17000,123.34000,121.65000
22111,20200330,127.50000,133.99001,133.00999,132.89000,132.95000,128.46001
22111,20200331,130.05000,135.70970,131.13000,130.98000,131.14999,134.99001
22111,20200401,125.50000,130.23000,128.81000,128.81000,128.96001,127.70000
22111,20200402,127.22000,134.00000,133.14999,133.08000,133.13000,129.12000
22111,20200403,131.58000,134.78500,134.17000,134.00999,134.14999,132.38000
22111,20200406,135.53999,140.97000,139.75999,139.56000,139.62000,137.00999
22111,20200407,137.25999,142.03000,137.48000,137.35001,137.36000,139.86000
22111,20200408,137.30000,144.13000,143.25999,143.14000,143.25999,137.75000
22111,20200409,140.28000,145.42000,141.23000,141.22000,141.23000,144.00999
22111,20200413,137.84039,141.48990,139.77000,139.89999,139.96001,140.00000
22111,20200414,144.05000,147.42000,146.03000,145.96001,145.97000,145.42000
22111,20200415,143.53999,147.91000,147.66000,147.73000,147.74001,145.55000
22111,20200416,146.44000,150.67999,149.67000,149.67000,149.67999,148.31000
22111,20200417,149.60001,152.30000,152.02000,151.89999,152.02000,151.99001
22111,20200420,150.09000,153.00000,151.67000,151.67000,151.75000,150.92999
22111,20200421,148.57001,151.64000,149.67999,149.67999,149.82001,150.12000
22111,20200422,151.73000,155.00000,152.99001,152.86000,152.96001,152.81000
22111,20200423,153.69881,157.00000,155.50999,155.77000,155.78000,154.25000
22111,20200424,153.64000,156.30000,154.86000,154.69000,154.70000,155.57001
22111,20200427,154.00000,156.05000,154.28999,154.00999,154.02000,154.81000
22111,20200428,150.70000,153.10001,151.39000,151.39000,151.46001,151.25000
22111,20200429,149.16000,151.63000,150.24001,150.16000,150.17000,151.38000
22111,20200430,147.16000,150.42999,150.03999,149.80000,149.81000,148.46001
22111,20200501,146.78999,149.67000,148.28999,148.28999,148.34000,149.62000
22111,20200504,147.09000,149.08000,148.27000,148.27000,148.28000,148.77000
22111,20200505,148.64000,150.78000,149.50000,149.50000,149.60001,149.00000
22111,20200506,148.03999,150.32001,148.08000,148.08000,148.16000,150.00000
22111,20200507,147.13010,149.52499,147.59000,147.58000,147.59000,149.37000
22111,20200508,147.89000,149.17999,148.70000,148.64000,148.70000,148.92000
22111,20200511,148.12000,150.10001,149.11000,149.17000,149.17999,148.45000
22111,20200512,147.03000,150.34000,147.14000,147.07001,147.08000,150.10001
22111,20200513,146.00999,148.95000,147.13000,147.21001,147.22000,146.08000
22111,20200514,144.25700,147.75999,147.64000,147.64999,147.72000,145.39000
22111,20200515,145.66000,150.48000,150.44000,150.27000,150.39999,147.87000
22111,20200518,150.46001,153.62000,150.52000,150.50000,150.50999,152.49001
22111,20200519,148.39999,151.10001,149.02000,148.96001,148.97000,150.10001
22111,20200520,147.27000,150.39000,147.67999,147.61000,147.62000,149.75000
22111,20200521,145.82001,148.50000,146.71001,146.69000,146.70000,148.50000
22111,20200522,144.06000,146.28500,144.37000,144.39999,144.41000,144.57001
22111,20200526,144.30000,146.44000,144.56000,144.60001,144.69000,146.19000
22111,20200527,143.00999,145.25000,144.89000,144.88000,144.89000,144.32001
22111,20200528,145.81000,148.11000,146.97000,146.98000,147.05000,146.02000
22111,20200529,145.33000,149.35001,148.75000,148.56000,148.57001,147.96001
22111,20200601,146.00999,148.34000,147.19000,147.13000,147.19000,147.28999
22111,20200602,146.12000,148.35001,148.25000,148.25000,148.28999,147.06000
22111,20200603,146.44901,149.14000,148.64999,148.64000,148.64999,148.52000
