PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
22752,20200102,90.36500,92.14000,92.04000,92.04000,92.06000,91.08000
22752,20200103,90.51000,92.07000,91.25000,91.22000,91.24000,90.68000
22752,20200106,90.99000,91.73500,91.64000,91.63000,91.64000,91.23000
22752,20200107,89.12000,91.12000,89.20000,89.21000,89.22000,90.80000
22752,20200108,88.41000,89.50000,88.60000,88.60000,88.61000,89.09000
22752,20200109,88.78000,90.05000,89.38000,89.37000,89.38000,88.95000
22752,20200110,89.44500,90.11000,89.53000,89.53000,89.54000,89.72000
22752,20200113,89.02000,89.63000,89.51000,89.44000,89.45000,89.52000
22752,20200114,88.87000,89.93000,89.93000,89.92000,89.93000,89.27000
22752,20200115,90.09000,91.61000,91.54000,91.55000,91.56000,90.10000
22752,20200116,91.05000,92.05540,91.18000,91.18000,91.19000,91.86000
22752,20200117,90.86000,91.63000,90.97000,90.97000,90.98000,91.28000
22752,20200121,89.71000,90.97000,89.97000,89.96000,89.97000,90.72000
22752,20200122,89.62000,90.46000,89.65000,89.65000,89.66000,90.17000
22752,20200123,88.26000,89.66000,88.56000,88.51000,88.53000,89.66000
22752,20200124,85.58000,88.82500,85.98000,85.96000,85.97000,88.63000
22752,20200127,84.71000,86.50500,86.10000,86.10000,86.11000,85.10000
22752,20200128,85.90000,86.71000,86.25000,86.25000,86.26000,86.44000
22752,20200129,86.43000,88.16000,87.24000,87.24000,87.25000,86.60000
22752,20200130,86.20000,87.13000,86.50000,86.49000,86.50000,86.95000
22752,20200131,85.00000,86.67000,85.44000,85.43000,85.44000,86.38000
22752,20200203,86.04000,88.22000,87.34000,87.31000,87.32000,86.04000
22752,20200204,88.06000,89.20000,88.36000,88.36000,88.39000,88.43000
22752,20200205,84.00000,86.74000,85.83000,85.82000,85.83000,84.68000
22752,20200206,85.26000,86.22500,85.68000,85.64000,85.65000,86.02000
22752,20200207,84.83000,85.94000,85.08000,85.07000,85.08000,85.89000
22752,20200210,84.94000,85.98000,85.66000,85.66000,85.68000,85.08000
22752,20200211,84.94500,86.00000,85.25000,85.25000,85.26000,85.86000
22752,20200212,82.90000,85.23000,83.25000,83.23000,83.24000,85.04000
22752,20200213,81.45000,82.93000,81.97000,81.92000,81.95000,82.93000
22752,20200214,81.67000,82.80000,82.65000,82.64000,82.65000,82.23000
22752,20200218,82.25500,83.11000,82.46000,82.46000,82.47000,82.88000
22752,20200219,81.57000,83.11000,82.00000,81.99000,82.00000,83.08000
22752,20200220,81.72000,82.83000,82.49000,82.48000,82.49000,82.22000
22752,20200221,81.71000,82.63000,82.34000,82.34000,82.35000,82.19000
22752,20200224,80.57000,82.58810,81.33000,81.34000,81.36000,80.61000
22752,20200225,79.85320,81.94000,80.27000,80.26000,80.27000,81.53000
22752,20200226,79.77000,81.63000,79.94000,79.93000,79.94000,80.66000
22752,20200227,78.00000,81.75000,78.08000,78.02000,78.03000,80.71000
22752,20200228,74.18000,77.49000,76.56000,76.55000,76.56000,76.68000
22752,20200302,77.08000,81.55000,81.37000,81.38000,81.42000,77.13000
22752,20200303,77.91000,82.40000,79.13000,79.11000,79.12000,81.40000
