PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
18312,20200102,18.88000,19.81000,19.23000,19.23000,19.24000,19.57000
18312,20200103,18.72000,19.36000,18.89000,18.87000,18.89000,19.02000
18312,20200106,18.01000,18.74000,18.13000,18.11000,18.13000,18.70000
18312,20200107,17.68000,18.32000,17.78000,17.79000,17.81000,18.15000
18312,20200108,17.76000,18.08000,17.98000,17.96000,17.98000,17.99000
18312,20200109,17.90000,18.55000,18.40000,18.38000,18.42000,18.00000
18312,20200110,19.05000,21.00000,19.14000,19.11000,19.14000,21.00000
18312,20200113,18.60000,20.36000,20.26000,20.25000,20.27000,19.26000
18312,20200114,19.55000,20.49790,20.00000,19.99000,20.00000,20.45000
18312,20200115,19.94000,20.58000,20.24000,20.20000,20.24000,19.94000
18312,20200116,20.77000,21.87000,21.01000,20.99000,21.01000,21.68000
18312,20200117,20.55000,21.50000,20.62000,20.61000,20.65000,21.50000
18312,20200121,20.64500,21.49000,20.94000,20.94000,20.98000,20.79000
18312,20200122,21.70000,23.20000,21.97000,21.94000,21.97000,22.08000
18312,20200123,21.40000,22.65000,21.47000,21.46000,21.48000,22.17000
18312,20200124,20.90000,21.87930,21.12000,21.12000,21.13000,21.60000
18312,20200127,21.12000,23.12000,22.74000,22.71000,22.74000,22.10000
18312,20200128,21.85010,23.50000,22.36000,22.34000,22.36000,23.50000
18312,20200129,20.45000,22.34000,20.55000,20.52000,20.55000,22.23000
18312,20200130,20.80000,21.74000,20.99000,20.98000,21.00000,21.05000
18312,20200131,20.05000,21.32000,20.51000,20.51000,20.52000,21.14000
18312,20200203,19.70000,21.06000,20.38000,20.36000,20.38000,20.66000
18312,20200204,19.75000,20.88000,20.87000,20.86000,20.87000,20.09000
18312,20200205,19.67000,21.20000,20.05000,20.04000,20.05000,20.99000
18312,20200206,19.70000,20.32000,19.88000,19.85000,19.88000,20.27000
18312,20200207,19.79000,23.39000,23.24000,23.23000,23.24000,19.79000
18312,20200210,22.38320,23.95000,23.65000,23.62000,23.63000,23.50000
18312,20200211,21.28000,22.74000,21.35000,21.34000,21.35000,22.09000
18312,20200212,18.50000,19.67000,19.01000,19.00000,19.01000,19.64000
18312,20200213,18.89000,19.80000,19.04500,19.04000,19.05000,19.36000
18312,20200214,18.85000,19.29000,19.00000,19.00000,19.01000,19.27000
18312,20200218,18.57000,19.35000,18.91000,18.91000,18.92000,19.14000
18312,20200219,18.72500,19.24000,18.92000,18.91000,18.92000,19.09000
18312,20200220,18.42000,19.17000,18.54000,18.54000,18.55000,18.86000
18312,20200221,17.91000,18.55000,18.23000,18.23000,18.24000,18.47000
18312,20200224,18.30000,19.28000,18.59000,18.55000,18.59000,19.23000
18312,20200225,20.51000,26.55000,23.76000,23.75000,23.76000,22.15000
18312,20200226,27.08000,29.98000,29.16000,29.15000,29.16000,29.05000
18312,20200227,23.05000,36.00000,26.16000,26.14000,26.15000,35.88000
18312,20200228,22.01500,25.95000,25.93000,25.92000,25.95000,23.38000
18312,20200302,25.21000,30.75000,29.88000,29.87000,29.88000,27.00000
18312,20200303,26.60000,28.60000,27.91000,27.90000,27.91000,27.80400
18312,20200304,26.80000,28.72000,27.49000,27.44000,27.48000,27.99000
18312,20200305,26.53500,28.95000,28.01000,28.00000,28.01000,27.49000
18312,20200306,27.67000,29.80000,29.61000,29.58000,29.61000,27.98000
18312,20200309,24.16000,30.00000,24.29000,24.28000,24.29000,30.00000
18312,20200310,21.28000,25.94000,22.34000,22.31000,22.34000,25.71000
18312,20200311,22.52350,25.74910,23.61000,23.60000,23.61000,22.54000
18312,20200312,21.90000,24.28000,22.30000,22.23000,22.29000,22.90000
18312,20200313,19.31000,23.47000,21.30000,21.28000,21.30000,23.00000
18312,20200316,22.22000,27.80000,26.49000,26.42000,26.50000,23.76000
18312,20200317,27.31480,32.70000,28.18000,28.13000,28.18000,29.36000
18312,20200318,26.55000,32.54000,31.58000,31.45000,31.70000,27.13000
18312,20200319,25.19000,34.98000,28.27000,28.25000,28.27000,32.78000
18312,20200320,26.20000,30.23000,28.20000,28.13000,28.16000,29.25000
18312,20200323,26.25000,29.81000,26.57000,26.53000,26.57000,28.71000
18312,20200324,24.36000,27.25000,25.82000,25.70000,25.82000,27.09000
18312,20200325,24.79000,27.98000,27.13000,27.12000,27.13000,25.00000
18312,20200326,27.56000,28.79000,27.94000,27.91000,27.93000,27.56000
18312,20200327,27.95000,31.09000,30.05000,30.01000,30.05000,28.37000
18312,20200330,28.27000,31.69000,30.48000,30.47000,30.48000,30.59000
18312,20200331,29.20000,30.98000,29.95000,29.95000,29.96000,30.60000
18312,20200401,29.44000,30.94000,29.67000,29.67000,29.70000,30.05000
18312,20200402,29.84000,33.39000,33.20000,33.19000,33.20000,30.60000
18312,20200403,32.72000,35.66000,34.84000,34.79000,34.84000,32.81000
18312,20200406,33.33000,35.18500,34.64000,34.60000,34.64000,34.91000
18312,20200407,30.98010,34.03000,32.02000,31.99000,32.00000,33.81000
18312,20200408,31.75010,32.94000,32.42000,32.35000,32.40000,32.36000
