PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
10107,20200102,158.33000,160.73000,160.62000,160.70000,160.73000,158.78000
10107,20200103,158.06000,159.94501,158.62000,158.59000,158.60001,158.32001
10107,20200106,156.50999,159.10001,159.03000,159.02000,159.03000,157.08000
10107,20200107,157.32001,159.67000,157.58000,157.57001,157.59000,159.32001
10107,20200108,157.94910,160.80000,160.09000,160.13000,160.14000,158.92999
10107,20200109,161.03000,162.21500,162.09000,162.08000,162.11000,161.83501
10107,20200110,161.17999,163.22000,161.34000,161.30000,161.33000,162.82401
10107,20200113,161.25999,163.31000,163.28000,163.28000,163.28999,161.75999
10107,20200114,161.72000,163.60001,162.13000,162.14000,162.14999,163.39000
10107,20200115,162.57001,163.94000,163.17999,163.28000,163.28999,162.62000
10107,20200116,164.03000,166.24001,166.17000,166.20000,166.21001,164.35001
10107,20200117,165.42999,167.46750,167.10001,167.00999,167.06000,167.42000
10107,20200121,166.42999,168.19000,166.50000,166.49001,166.52000,166.67999
10107,20200122,165.67999,167.49001,165.70000,165.67999,165.70000,167.39999
10107,20200123,165.27000,166.80000,166.72000,166.72000,166.73000,166.19000
10107,20200124,164.45000,167.53000,165.03999,165.02000,165.03999,167.50999
10107,20200127,160.20000,163.37500,162.28000,162.25999,162.27000,161.14999
10107,20200128,163.07300,165.75500,165.46001,165.46001,165.47000,163.78000
10107,20200129,165.69000,168.75000,168.03999,168.17999,168.19000,167.84000
10107,20200130,170.78999,174.05000,172.78000,172.73000,172.75000,174.05000
10107,20200131,169.58000,172.39999,170.23000,170.17000,170.20000,172.21001
10107,20200203,170.39999,174.50000,174.38000,174.38000,174.39000,170.42999
10107,20200204,176.31000,180.64000,180.12000,180.12000,180.14000,177.14000
10107,20200205,178.41010,184.20000,179.89999,179.92000,179.94000,184.03000
10107,20200206,180.05901,183.81990,183.63000,183.63000,183.64000,180.97000
10107,20200207,182.48000,185.63000,183.89000,183.91000,183.94000,182.84500
10107,20200210,183.25000,188.84000,188.70000,188.71001,188.75000,183.58000
10107,20200211,183.50000,190.70000,184.44000,184.42999,184.44000,190.64999
10107,20200212,181.85001,185.85001,184.71001,184.71001,184.72000,185.58000
10107,20200213,182.87199,186.23000,183.71001,183.72000,183.75999,183.08000
10107,20200214,182.64999,185.41000,185.35001,185.33000,185.35001,183.25000
10107,20200218,185.50000,187.70000,187.23000,187.22000,187.24001,185.60500
10107,20200219,186.47000,188.17999,187.28000,187.27000,187.28999,188.06000
10107,20200220,181.10001,187.25000,184.42000,184.32001,184.34000,186.95000
10107,20200221,177.25000,183.50000,178.59000,178.55000,178.56000,183.17000
10107,20200224,163.23000,174.55000,170.89000,170.88000,170.89000,167.77000
10107,20200225,167.64619,174.84000,168.07001,168.05000,168.06000,174.20000
10107,20200226,168.21001,173.25999,170.17000,170.16000,170.17000,169.71001
10107,20200227,157.98000,167.03000,158.17999,158.00000,158.02000,163.32001
10107,20200228,152.00000,163.71001,162.00999,162.11000,162.12000,152.41000
10107,20200302,162.31000,172.92000,172.78999,172.80000,172.85001,165.31000
10107,20200303,162.25999,175.00000,164.50999,164.30000,164.38000,173.80000
10107,20200304,165.62000,170.70000,170.55000,170.53000,170.55000,168.48500
10107,20200305,165.69000,170.87000,166.27000,166.23000,166.24001,166.04500
10107,20200306,156.00000,163.11000,161.57001,161.53999,161.57001,162.61000
10107,20200309,150.00000,157.75000,150.62000,150.62000,150.63000,151.00000
10107,20200310,152.58000,161.03000,160.92000,161.02000,161.03000,158.16000
10107,20200311,151.14999,157.70000,153.63000,153.53999,153.59000,157.13000
10107,20200312,138.58000,153.47000,139.06000,138.75999,138.80000,145.30000
10107,20200313,140.73000,161.91000,158.83000,158.84000,158.85001,147.50000
10107,20200316,135.00000,149.35001,135.42000,135.41000,135.42000,140.00000
10107,20200317,135.00000,147.49980,146.57001,146.56000,146.57001,140.00000
10107,20200318,135.02000,146.00000,140.39999,142.13000,142.34000,138.00000
10107,20200319,139.00000,150.14999,142.71001,142.63000,142.67000,142.77000
10107,20200320,135.86000,147.10001,137.35001,136.75999,136.77000,146.00000
10107,20200323,132.52000,140.57001,135.98000,135.56000,135.69000,137.00999
10107,20200324,141.27000,149.60001,148.34000,148.33000,148.34000,143.75000
10107,20200325,144.44000,154.33000,146.92000,146.85001,146.92000,148.91000
10107,20200326,148.37000,156.66000,156.11000,156.11000,156.13000,148.39999
10107,20200327,149.20000,154.89000,149.70000,149.61000,149.67999,151.75000
10107,20200330,150.00999,160.60001,160.23000,160.30000,160.32001,152.44000
10107,20200331,156.56000,164.78000,157.71001,157.64000,157.70000,159.39999
10107,20200401,150.82001,157.75000,152.11000,151.94000,152.03000,153.00000
10107,20200402,150.36000,155.48000,155.25999,155.25000,155.25999,151.86000
10107,20200403,152.19000,157.38000,153.83000,153.82001,153.89999,155.10001
10107,20200406,157.58000,166.50000,165.27000,165.25999,165.27000,160.32001
10107,20200407,163.25999,170.00000,163.49001,163.48000,163.49001,169.58501
10107,20200408,163.50000,166.67000,165.13000,165.10001,165.13000,165.67000
10107,20200409,163.33000,167.37000,165.14000,165.19000,165.21001,166.36000
10107,20200413,162.30000,165.57001,165.50999,165.50000,165.50999,164.35001
