PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
21936,20200102,38.87500,39.35000,39.14000,39.14000,39.15000,39.30000
21936,20200103,38.67000,39.24000,38.93000,38.91000,38.92000,38.72000
21936,20200106,38.70000,39.00000,38.88000,38.87000,38.88000,38.82000
21936,20200107,38.68000,39.13000,38.75000,38.75000,38.77000,39.12000
21936,20200108,38.75000,39.22000,39.06000,39.05000,39.06000,38.76000
21936,20200109,38.79000,39.27000,38.89000,38.88000,38.89000,39.27000
21936,20200110,38.97000,39.62500,39.49000,39.48000,39.49000,38.98000
21936,20200113,39.21000,39.77200,39.41000,39.40000,39.41000,39.62000
21936,20200114,39.30000,40.08000,40.07000,40.06000,40.07000,39.43000
21936,20200115,40.17000,40.87000,40.67000,40.67000,40.68000,40.19000
21936,20200116,40.32360,40.79500,40.61000,40.60000,40.61000,40.79000
21936,20200117,40.42000,40.80500,40.51000,40.50000,40.51000,40.57000
21936,20200121,40.19000,40.66000,40.34000,40.35000,40.36000,40.38000
21936,20200122,39.97000,40.41000,40.19000,40.18000,40.19000,40.32000
21936,20200123,40.13000,40.83000,40.71000,40.71000,40.72000,40.19000
21936,20200124,39.63500,40.97000,39.82000,39.82000,39.83000,40.94000
21936,20200127,39.25000,40.43000,40.16000,40.15000,40.16000,39.41000
21936,20200128,37.95000,39.49000,38.14000,38.12000,38.13000,39.32000
21936,20200129,37.55000,38.38000,37.58000,37.58000,37.59000,38.12000
21936,20200130,36.69000,37.17000,37.07000,37.06000,37.07000,37.10000
21936,20200131,36.90000,37.45000,37.24000,37.23000,37.24000,36.94000
21936,20200203,37.30000,38.03510,37.51000,37.50000,37.51000,37.46000
21936,20200204,37.63000,38.24000,37.69000,37.69000,37.70000,38.08000
21936,20200205,37.82000,38.57000,38.17000,38.17000,38.18000,37.85000
21936,20200206,38.03000,38.50000,38.26000,38.25000,38.26000,38.44000
21936,20200207,37.93000,38.40000,38.05000,38.05000,38.06000,38.36000
21936,20200210,37.72000,38.22000,37.81000,37.81000,37.82000,38.21000
21936,20200211,37.75500,38.13000,38.09000,38.09000,38.10000,37.89000
21936,20200212,37.72000,38.19000,37.74000,37.73000,37.74000,38.09000
21936,20200213,36.88500,37.58000,36.93000,36.93000,36.94000,37.58000
21936,20200214,36.42000,37.04000,36.51000,36.49000,36.50000,36.97000
21936,20200218,36.26760,36.67000,36.32000,36.31000,36.32000,36.55000
21936,20200219,36.21000,36.50000,36.23000,36.23000,36.24000,36.40000
21936,20200220,35.41000,36.06000,35.85000,35.84000,35.85000,35.71000
21936,20200221,35.53000,35.82000,35.72000,35.71000,35.72000,35.76000
21936,20200224,34.60000,35.39500,34.67000,34.67000,34.68000,35.04000
21936,20200225,33.71000,34.74000,33.93000,33.93000,33.94000,34.68000
