PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
18163,20200102,122.94000,124.73000,123.41000,123.42000,123.45000,124.50000
18163,20200103,121.86000,123.53000,122.58000,122.52000,122.54000,122.16000
18163,20200106,122.37870,123.19000,122.75000,122.75000,122.76000,122.57000
18163,20200107,121.87000,123.20590,121.99000,122.00000,122.02000,122.88000
18163,20200108,122.00030,123.42990,122.51000,122.50000,122.52000,122.19000
18163,20200109,122.51000,123.88000,123.85000,123.84000,123.85000,122.51000
18163,20200110,123.29500,124.32000,123.97000,123.97000,123.99000,123.90000
18163,20200113,123.81000,124.90000,124.88000,124.87000,124.88000,124.00000
18163,20200114,124.48000,125.20000,124.69000,124.68000,124.69000,124.65000
18163,20200115,125.01000,126.12000,125.96000,125.96000,126.00000,125.06000
18163,20200116,125.59000,126.78000,126.07000,126.07000,126.10000,126.11000
18163,20200117,125.88000,127.00000,126.41000,126.35000,126.37000,126.35000
18163,20200121,124.84000,126.62000,126.09000,126.10000,126.14000,126.41000
18163,20200122,125.83000,126.67950,126.31000,126.33000,126.36000,126.33000
18163,20200123,123.65000,126.55000,124.99000,124.97000,124.98000,124.30000
18163,20200124,124.77000,126.79000,125.14000,125.15000,125.18000,125.22000
18163,20200127,124.75000,126.39000,125.69000,125.69000,125.70000,124.75000
18163,20200128,125.72000,126.98000,126.03000,126.00000,126.01000,125.93000
18163,20200129,125.02500,126.07000,125.06000,125.06000,125.07000,125.91000
18163,20200130,124.42000,126.06000,125.95000,125.93000,125.94000,124.79000
18163,20200131,124.46000,126.95000,124.62000,124.50000,124.54000,125.99000
18163,20200203,124.49000,125.95000,125.11000,125.06000,125.08000,124.66000
18163,20200204,125.36000,127.35000,125.66000,125.68000,125.69000,125.71000
18163,20200205,125.40000,127.06000,126.81000,126.78000,126.79000,125.91000
18163,20200206,126.60000,128.09000,127.14000,127.11000,127.13000,126.90000
18163,20200207,126.05000,127.27000,126.08000,126.08000,126.11000,127.19000
18163,20200210,125.76000,126.83000,126.17000,126.17000,126.20000,126.46000
