PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
91103,20200102,89.10500,90.57000,89.74000,89.70000,89.73000,89.57000
91103,20200103,86.26000,88.16000,87.90000,87.86000,87.90000,86.80000
91103,20200106,86.65000,88.07000,87.70000,87.70000,87.72000,86.72000
91103,20200107,86.74000,88.16000,86.77000,86.77000,86.79000,87.41000
91103,20200108,86.30000,88.45000,87.30000,87.28000,87.29000,86.90000
91103,20200109,87.50000,88.72000,87.95000,87.95000,87.96000,87.72000
91103,20200110,86.97000,88.26000,87.31000,87.31000,87.33000,88.04000
91103,20200113,86.70000,87.67000,86.89000,86.87000,86.88000,87.31000
91103,20200114,87.71000,89.64000,87.85000,87.87000,87.93000,88.17000
91103,20200115,87.25000,88.80000,88.29000,88.29000,88.30000,87.61000
91103,20200116,88.78000,89.71500,89.54000,89.53000,89.55000,88.79000
91103,20200117,88.96000,90.10000,89.70000,89.66000,89.70000,89.80000
91103,20200121,84.57000,88.00000,85.79000,85.71000,85.83000,87.88000
91103,20200122,83.15000,87.56500,83.34000,83.32000,83.34000,86.75000
91103,20200123,81.06000,85.17000,84.88000,84.88000,84.89000,83.00000
91103,20200124,80.28000,84.73000,81.90000,81.89000,81.91000,84.31000
91103,20200127,76.55000,78.46000,77.63000,77.59000,77.63000,78.00000
91103,20200128,77.00000,78.47500,77.05000,77.01000,77.02000,78.25000
91103,20200129,75.01000,77.48990,75.21000,75.20000,75.21000,77.40000
91103,20200130,74.44000,77.98000,77.75000,77.74000,77.75000,74.66000
91103,20200131,74.52000,77.29000,74.80000,74.77000,74.78000,77.17000
91103,20200203,74.88000,77.11990,74.91000,74.88000,74.91000,75.49000
91103,20200204,76.50000,79.53000,78.89000,78.89000,78.90000,76.64000
91103,20200205,80.05000,82.36000,81.85000,81.85000,81.86000,80.76000
91103,20200206,79.79000,82.72110,80.50000,80.49000,80.51000,82.40000
91103,20200207,78.65000,80.24000,79.48000,79.48000,79.49000,80.00000
91103,20200210,77.78000,79.61000,79.47000,79.44000,79.47000,78.95000
91103,20200211,79.94500,81.45000,80.53000,80.52000,80.55000,80.02000
91103,20200212,81.00000,82.60000,82.20000,82.20000,82.22000,81.08000
91103,20200213,80.37000,81.74000,80.99000,80.99000,81.01000,81.00000
91103,20200214,79.40000,81.44000,79.55000,79.56000,79.59000,81.02000
91103,20200218,78.65000,80.62500,80.24000,80.23000,80.25000,79.00000
91103,20200219,79.19000,80.94000,79.42000,79.41000,79.42000,80.94000
91103,20200220,79.30000,81.67000,79.91000,79.90000,79.94000,79.30000
91103,20200221,77.32000,79.40000,78.01000,77.97000,78.01000,79.40000
91103,20200224,73.65000,76.02000,75.47000,75.47000,75.48000,75.08000
91103,20200225,70.32000,76.18000,70.57000,70.54000,70.55000,75.76000
91103,20200226,65.89000,71.91000,66.53000,66.52000,66.53000,71.75000
91103,20200227,61.20000,69.02000,64.94000,64.93000,64.95000,62.90000
91103,20200228,60.82500,64.87990,61.59000,61.60000,61.61000,62.85000
91103,20200302,57.04250,61.27000,61.26000,61.24000,61.27000,61.13000
91103,20200303,57.96000,63.53000,58.29000,58.29000,58.33000,63.14000
91103,20200304,56.31500,59.74000,59.47000,59.47000,59.48000,59.51000
91103,20200305,50.93000,57.16000,51.59000,51.54000,51.55000,57.11000
91103,20200306,48.26010,56.00000,52.10000,52.09000,52.10000,48.61000
91103,20200309,45.91500,50.99000,46.78000,46.64000,46.67000,49.58500
91103,20200310,46.62000,54.33000,52.56000,52.55000,52.56000,51.00000
91103,20200311,48.05000,51.23000,49.34000,49.34000,49.35000,50.53000
91103,20200312,37.01000,44.31000,37.08000,37.07000,37.09000,42.77000
91103,20200313,34.00000,42.49000,41.64000,41.63000,41.64000,41.33000
91103,20200316,30.38000,39.37000,35.47000,35.40000,35.48000,34.34000
91103,20200317,30.05000,38.14000,30.67000,30.66000,30.74000,36.49000
91103,20200318,17.80000,28.97000,21.38000,21.37000,21.44000,28.81000
91103,20200319,18.09000,23.99000,21.28000,21.28000,21.29000,21.34000
91103,20200320,22.20000,30.74000,24.50000,24.54000,24.55000,23.37000
91103,20200323,23.37000,26.60000,26.25000,26.24000,26.26000,25.97000
91103,20200324,30.01000,34.15000,33.00000,32.99000,33.00000,31.99000
91103,20200325,33.29000,39.47000,36.60000,36.58000,36.61000,38.00000
91103,20200326,34.53000,39.78000,35.55000,35.53000,35.55000,38.38000
91103,20200327,32.03000,35.20000,32.84000,32.79000,32.84000,35.02000
91103,20200330,28.00000,31.80000,30.16000,30.15000,30.16000,30.69000
91103,20200331,30.58310,33.60500,31.55000,31.54000,31.55000,31.31000
91103,20200401,25.36010,29.69000,25.65000,25.64000,25.65000,29.51000
91103,20200402,23.00000,26.09000,23.42000,23.41000,23.42000,25.24000
91103,20200403,21.56000,24.93950,22.88500,22.88000,22.89000,24.21650
91103,20200406,21.80000,24.80000,24.02000,23.98000,24.02000,23.90000
91103,20200407,23.72410,28.69000,24.48000,24.47000,24.48000,28.20000
91103,20200408,24.51000,27.54000,27.51000,27.49000,27.51000,25.65000
91103,20200409,29.57000,34.04000,31.50000,31.50000,31.52000,29.92000
91103,20200413,27.59000,32.70000,28.91000,28.90000,28.91000,32.63000
91103,20200414,30.38000,32.21000,30.90000,30.87000,30.88000,30.52000
91103,20200415,29.88000,32.60000,31.86000,31.81000,31.86000,31.97000
91103,20200416,27.92000,30.49000,28.21000,28.20000,28.21000,30.34800
91103,20200417,28.86000,30.11000,29.08000,29.07000,29.08000,29.90000
91103,20200420,26.69000,28.67000,27.79000,27.77000,27.78000,27.92700
91103,20200421,26.76000,28.36000,27.88000,27.86000,27.88000,27.01000
