PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
92322,20200102,250.64560,254.82890,254.55000,254.53000,254.55000,254.32001
92322,20200103,249.22000,252.48000,250.17000,250.05000,250.16000,252.28000
92322,20200106,246.74001,251.09000,250.95000,250.86000,250.95000,248.71001
92322,20200107,250.00999,254.84000,253.09000,253.03000,253.09000,250.41000
92322,20200108,252.45000,259.17590,258.00000,257.85999,258.00000,252.45000
92322,20200109,259.39499,266.32181,263.50000,263.50000,263.51001,259.67001
92322,20200110,262.44000,267.29999,267.28000,267.28000,267.29001,264.17999
92322,20200113,269.04999,279.45001,275.70001,275.70001,275.76999,269.23999
92322,20200114,276.17181,283.16000,282.62000,282.60999,282.70001,276.35001
92322,20200115,275.80011,284.06000,276.20001,276.20001,276.25000,282.63000
92322,20200116,276.35001,280.16000,277.00000,276.92999,277.00000,277.98999
92322,20200117,271.17999,278.19000,272.89001,272.82001,272.89001,278.00000
92322,20200121,269.75000,276.84000,272.01001,271.87000,272.01001,272.89001
92322,20200122,272.50000,276.19000,273.92001,273.87000,273.88000,273.38000
92322,20200123,268.92999,274.39001,272.20001,272.09000,272.20001,273.73001
92322,20200124,270.87000,275.23999,272.98001,272.89999,272.98001,272.26001
92322,20200127,266.20999,276.51001,273.70001,273.70001,273.72000,267.35999
92322,20200128,271.78000,277.26001,273.87000,273.85999,273.87000,275.00000
92322,20200129,271.10999,275.69000,273.98001,273.92001,273.98001,274.50000
92322,20200130,270.14999,275.00000,274.48999,274.48001,274.54999,270.54999
92322,20200131,266.73749,274.26999,267.91000,267.76999,267.91000,274.26999
92322,20200203,272.16000,280.00000,274.95999,275.01001,275.01999,273.00000
92322,20200204,272.85999,279.88000,273.51999,273.51999,273.57999,277.51999
92322,20200205,274.44000,280.06000,278.17999,278.22000,278.26999,275.54999
92322,20200206,279.50500,293.39001,293.04999,293.04999,293.06000,279.81000
92322,20200207,290.25000,297.34000,295.95999,296.03000,296.07999,292.16000
92322,20200210,291.73001,297.42001,293.25000,293.10999,293.25000,295.00000
92322,20200211,290.03000,295.38000,293.78000,293.62000,293.78000,294.89001
92322,20200212,294.00000,304.64999,299.29999,299.13000,299.31000,294.16000
92322,20200213,295.50000,300.98999,297.09000,296.95001,297.09000,298.03000
92322,20200214,293.43500,299.03000,294.57001,294.57001,294.60001,297.29999
92322,20200218,294.19000,300.04999,298.70999,298.57001,298.70999,295.45999
92322,20200219,296.70999,300.95001,296.85999,296.85999,296.95001,299.89999
92322,20200220,294.31000,301.97659,301.34000,301.42001,301.60999,296.04999
92322,20200221,298.00000,302.89001,299.39999,299.41000,299.44000,299.76001
92322,20200224,283.59000,294.73001,285.57001,285.57001,285.62000,290.14999
92322,20200225,277.14999,288.75000,277.98999,277.82999,278.00000,287.53000
92322,20200226,272.35190,280.70001,272.76001,272.76001,272.84000,279.87000
92322,20200227,261.88000,271.84000,265.38000,265.14001,265.34000,266.70001
92322,20200228,252.09000,262.47000,257.09000,256.76001,257.13000,257.51999
92322,20200302,249.00999,261.00000,260.98999,260.98001,260.98999,256.34500
92322,20200303,255.67999,267.00000,256.70001,256.67001,256.95001,259.32999
92322,20200304,258.76001,269.29999,268.84000,268.78000,268.84000,260.32001
92322,20200305,252.97000,263.67001,257.14001,257.14001,257.26999,260.95999
92322,20200306,248.14999,258.09000,256.57999,256.57999,256.84000,252.41000
92322,20200309,230.00000,244.14000,235.70000,235.69000,235.70000,237.44000
92322,20200310,224.31000,248.52000,239.06000,239.02000,239.06000,245.71001
92322,20200311,218.39999,234.61000,221.21001,221.21001,221.22000,232.57001
92322,20200312,190.83000,214.14000,198.53999,195.78999,196.00000,198.92000
92322,20200313,193.64999,229.25200,207.06000,207.05000,207.06000,227.19000
92322,20200316,160.00000,187.99001,161.53999,161.25000,161.48000,183.02000
