PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
85663,20200102,164.41000,168.67000,168.64999,168.66000,168.67000,168.41000
85663,20200103,161.37000,166.56000,165.71001,165.63000,165.64000,164.99001
85663,20200106,162.36000,165.69000,165.38000,165.38000,165.49001,162.61000
85663,20200107,163.63000,165.97000,165.08000,165.06000,165.08000,165.00000
85663,20200108,163.61000,166.27000,164.81000,164.77000,164.81000,165.31000
85663,20200109,162.62000,165.92000,163.23000,163.23000,163.27000,165.91000
85663,20200110,158.64999,163.45000,159.47000,159.45000,159.47000,163.23000
85663,20200113,155.71001,160.86000,157.44000,157.41000,157.44000,160.60001
85663,20200114,152.62000,157.07001,154.34000,154.32001,154.33000,156.27000
85663,20200115,152.24500,156.05000,154.89000,154.89000,154.91000,153.24001
85663,20200116,155.50999,157.78999,157.64999,157.66000,157.69000,156.03000
85663,20200117,158.14000,161.28000,158.72000,158.62000,158.71001,158.46001
85663,20200121,154.78999,157.89999,154.99001,154.99001,155.00999,157.89999
85663,20200122,154.63000,156.95000,155.27000,155.27000,155.30000,156.42999
85663,20200123,150.84000,155.35001,155.14999,155.11000,155.17000,153.66000
85663,20200124,149.50999,155.82001,151.64999,151.64999,151.70000,155.24001
85663,20200127,146.03999,149.72000,146.27000,146.27000,146.28999,146.53999
85663,20200128,147.31000,151.55000,150.50000,150.50000,150.50999,148.25000
85663,20200129,150.56000,153.66000,152.25999,152.14999,152.21001,151.50000
85663,20200130,140.07001,152.56000,141.58000,141.57001,141.58000,150.05000
85663,20200131,135.26500,140.84000,135.69000,135.61000,135.62000,139.84000
85663,20200203,136.72000,141.31000,139.52000,139.53999,139.55000,137.19000
85663,20200204,141.61000,149.33000,147.53000,147.53999,147.57001,142.27000
85663,20200205,150.25000,155.28000,154.38000,154.39999,154.41000,151.00000
85663,20200206,150.36000,155.25999,152.61000,152.62000,152.64999,155.25999
85663,20200207,149.05000,151.56000,149.75000,149.72000,149.77000,151.28000
85663,20200210,148.25999,151.09000,150.75000,150.77000,150.78000,149.27000
85663,20200211,151.89999,156.00000,154.05000,153.99001,154.00000,152.59000
85663,20200212,156.02000,160.08000,158.87000,158.94000,158.95000,156.95000
85663,20200213,157.00000,160.28999,160.08000,160.07001,160.08000,157.47000
85663,20200214,154.89999,161.11000,156.86000,156.84000,156.87000,159.99001
85663,20200218,151.52000,156.59000,153.98000,153.95000,153.96001,155.25000
85663,20200219,153.16000,156.49001,153.55000,153.53000,153.53999,154.85001
85663,20200220,152.55000,159.11501,155.72000,155.73000,155.75000,152.75999
85663,20200221,150.80000,154.47000,151.41000,151.41000,151.42000,153.72000
85663,20200224,139.42999,143.97000,141.95000,141.92000,141.92999,143.73000
85663,20200225,132.72000,143.50000,134.64000,134.58000,134.59000,142.66000
85663,20200226,131.56000,137.69000,131.72000,131.78999,131.80000,136.64999
85663,20200227,123.63000,136.83000,129.64000,129.63000,129.64000,126.32000
85663,20200228,124.10000,135.36000,132.48000,132.63000,132.64000,124.54000
85663,20200302,127.00000,135.80000,135.80000,135.77000,135.80000,134.52000
85663,20200303,126.57000,138.61000,128.64000,128.60001,128.64000,135.41000
85663,20200304,126.38000,132.33000,130.16000,130.14999,130.16000,131.06000
85663,20200305,118.67000,125.74000,119.82000,119.85000,119.86000,125.36000
85663,20200306,111.65000,118.36000,115.67000,115.63000,115.64000,114.05000
85663,20200309,97.90000,106.77000,98.96000,98.95000,98.96000,100.99000
85663,20200310,97.96000,108.85000,107.42000,107.41000,107.42000,104.97000
85663,20200311,98.38000,104.21000,99.72000,99.65000,99.72000,102.34000
85663,20200312,83.00010,94.05000,83.23000,83.22000,83.23000,91.02000
85663,20200313,83.01000,91.56000,91.01000,91.00000,91.01000,90.20000
85663,20200316,76.09000,90.38500,83.23000,83.22000,83.23000,78.00000
85663,20200317,74.62010,86.03000,81.43000,81.42000,81.43000,85.10000
85663,20200318,58.85000,75.54000,69.59000,69.58000,69.59000,73.94000
85663,20200319,63.58000,79.40000,77.71000,77.70000,77.71000,67.81000
85663,20200320,69.97000,82.04000,70.10000,70.09000,70.10000,79.53000
85663,20200323,63.77000,72.54000,70.89000,70.89000,70.90000,69.16000
85663,20200324,77.32500,89.68000,86.61000,86.61000,86.67000,77.52000
85663,20200325,82.54000,101.18000,93.19000,93.47000,93.48000,89.32000
85663,20200326,90.29000,101.26000,99.18000,99.17000,99.18000,95.13000
85663,20200327,86.45000,92.99000,90.15000,90.14000,90.20000,92.10000
85663,20200330,86.00000,95.49000,95.16000,94.93000,94.99000,88.43000
85663,20200331,94.64000,105.74000,102.90000,102.67000,102.90000,95.12000
