PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
18484,20200102,68.02000,69.23500,68.72000,68.64000,68.72000,68.80000
18484,20200103,67.10000,68.68000,67.28000,67.28000,67.35000,67.62000
18484,20200106,65.81160,70.49500,70.32000,70.23000,70.32000,66.63000
18484,20200107,69.37000,72.83910,71.90000,71.86000,71.91000,70.29000
18484,20200108,71.03000,73.29000,72.55000,72.46000,72.55000,71.81000
18484,20200109,71.35000,74.00000,72.62000,72.62000,72.63000,73.99000
18484,20200110,72.25000,73.80000,73.09000,73.06000,73.12000,73.08000
18484,20200113,73.80000,75.58000,74.03000,74.01000,74.02000,73.89000
18484,20200114,72.26000,75.11500,73.16000,73.15000,73.25000,74.32000
18484,20200115,73.20000,77.78000,76.94000,76.90000,77.00000,73.28000
18484,20200116,75.11000,78.79000,76.11000,76.09000,76.10000,78.00000
18484,20200117,75.49000,76.90000,75.56000,75.56000,75.57000,76.66000
18484,20200121,74.32000,77.12000,76.73000,76.69000,76.73000,75.56000
18484,20200122,75.46000,77.10560,75.61000,75.60000,75.61000,77.07000
18484,20200123,74.21000,75.97000,74.47000,74.48000,74.61000,75.67000
18484,20200124,72.37460,76.18500,73.00000,73.02000,73.11000,74.97000
18484,20200127,70.32000,72.13170,70.44000,70.35000,70.45000,71.33000
18484,20200128,70.26000,72.48000,71.51000,71.49000,71.61000,71.00000
18484,20200129,71.21300,74.14000,73.58000,73.57000,73.58000,72.51000
18484,20200130,72.55000,74.80000,74.54000,74.54000,74.55000,73.10000
18484,20200131,73.30000,76.67000,76.30000,76.29000,76.31000,74.27000
18484,20200203,77.51000,88.94000,87.66000,87.65000,87.66000,77.69000
18484,20200204,83.50000,93.30000,85.79000,85.71000,85.85000,91.04000
18484,20200205,83.75500,90.97000,86.99000,86.97000,86.98000,85.77000
18484,20200206,85.26000,89.44000,87.26000,87.23000,87.25000,87.00000
18484,20200207,86.81000,90.60000,88.64000,88.50000,88.64000,87.23000
18484,20200210,86.91000,89.98000,89.67000,89.65000,89.67000,89.09000
18484,20200211,87.93000,90.50000,88.68000,88.64000,88.68000,90.00000
18484,20200212,86.52000,89.50000,88.28000,88.24000,88.28000,88.66000
18484,20200213,87.00000,91.93000,89.86000,89.81000,89.88000,87.61000
18484,20200214,89.81000,91.71000,90.95000,90.88000,90.95000,90.88000
18484,20200218,92.40000,98.14000,96.39000,96.30000,96.40000,93.02000
18484,20200219,99.75000,105.08000,103.93000,103.87000,103.93000,100.32000
18484,20200220,101.43000,110.75000,105.29000,105.19000,105.29000,104.00000
18484,20200221,98.09000,104.29000,101.76000,101.77000,101.99000,104.03000
18484,20200224,97.02000,110.00000,105.01000,104.89000,104.99000,97.80000
18484,20200225,104.46640,111.80000,107.08000,107.07000,107.09000,108.52000
18484,20200226,105.60000,111.30000,106.88000,106.75000,106.87000,109.94300
18484,20200227,107.60000,118.00000,113.55000,113.55000,113.70000,109.43000
18484,20200228,97.37000,121.93000,105.00000,104.79000,104.91000,121.07000
18484,20200302,102.50000,114.49990,113.11000,113.00000,113.09000,109.35000
18484,20200303,112.11000,119.20000,117.47000,117.34000,117.47000,114.55000
18484,20200304,113.11000,119.97000,116.80000,116.65000,116.72000,118.51000
18484,20200305,110.00000,129.83000,125.00000,124.74000,125.00000,110.25000
18484,20200306,107.00000,122.00000,114.32000,114.16000,114.33000,119.65000
18484,20200309,100.88000,116.50000,113.75000,113.60000,113.75000,105.00000
18484,20200310,105.00000,113.80000,108.49000,108.48000,108.49000,113.80000
18484,20200311,107.00000,113.99000,110.30000,110.17000,110.27000,108.41000
18484,20200312,104.39000,113.87120,109.47000,109.25000,109.47000,106.25000
18484,20200313,104.16000,113.80000,107.47000,107.47000,107.50000,113.00000
18484,20200316,103.20000,119.87000,107.86000,107.87000,108.00000,105.00000
18484,20200317,102.00000,113.83000,111.10000,111.04000,111.10000,107.33000
18484,20200318,108.85000,119.00000,118.71000,118.72000,118.84000,111.00000
18484,20200319,119.10000,132.23000,123.77000,123.44000,123.81000,122.95000
18484,20200320,124.00000,135.98000,130.55000,130.39999,130.55000,129.00000
18484,20200323,137.25000,164.94000,159.56000,159.30000,159.57001,141.99699
18484,20200324,133.88000,155.00000,135.17999,135.20000,135.21001,154.00000
18484,20200325,136.20000,149.00000,138.11000,138.05000,138.11000,140.10500
18484,20200326,138.20000,146.64999,141.14999,141.14999,141.27000,140.50999
18484,20200327,145.60001,154.97000,151.70000,151.70000,151.91000,145.70000
18484,20200330,147.20000,161.69000,150.88000,150.69000,150.89999,160.75999
18484,20200331,143.35680,149.78999,146.12000,146.05000,146.12000,147.02000
18484,20200401,135.17999,144.60001,137.00000,136.88000,136.97000,144.50000
18484,20200402,114.50000,133.48891,121.93000,121.80000,121.97000,125.30000
18484,20200403,120.11000,128.48000,128.20000,128.00999,128.20000,124.30000
18484,20200406,108.53010,125.17470,122.94000,122.88000,122.94000,113.63000
18484,20200407,109.57070,118.44000,113.75000,113.50000,113.75000,118.00500
18484,20200408,112.50000,125.87790,117.81000,117.75000,117.92000,115.02000
18484,20200409,114.00000,125.50000,124.51000,124.51000,124.52000,117.80000
18484,20200413,125.60350,136.86000,135.92000,135.92000,136.10001,127.00000
18484,20200414,139.00999,145.20000,141.89000,141.89000,142.05000,141.07001
18484,20200415,140.00000,152.57001,151.56000,151.50000,151.58000,141.71001
18484,20200416,146.80000,154.25000,150.25999,150.33000,150.39000,149.92000
18484,20200417,144.03000,153.78940,150.06000,149.97000,150.10001,147.91000
18484,20200420,148.25349,155.00000,148.99001,148.86000,148.99001,153.30000
18484,20200421,138.36000,154.75000,143.27000,143.27000,143.50000,151.42000
18484,20200422,145.10001,152.28000,150.25000,150.09000,150.30000,147.10001
18484,20200423,153.49001,169.75000,169.09000,168.88000,169.06000,154.00999
18484,20200424,158.30000,181.50000,158.80000,158.80000,158.83000,177.14999
18484,20200427,155.00000,167.85001,164.60001,164.50000,164.55000,156.59000
18484,20200428,155.25000,166.00000,156.72000,156.61000,156.64999,165.00000
18484,20200429,143.38000,151.00000,146.48000,146.46001,146.49001,147.98000
18484,20200430,133.68010,143.80000,135.17000,135.16000,135.17000,139.99001
18484,20200501,132.67000,141.63000,138.56000,138.55000,138.61000,136.00000
18484,20200504,140.44949,144.98000,143.44000,143.30000,143.44000,140.77000
18484,20200505,140.86000,148.44000,144.82001,144.75000,144.82001,144.42999
18484,20200506,144.09000,150.74001,149.59000,149.50000,149.59000,145.47000
18484,20200507,154.03999,162.00000,157.80000,157.73000,157.80000,154.84000
18484,20200508,152.70461,161.16000,155.39999,155.39999,155.42000,160.00000
18484,20200511,158.00000,168.00000,166.48000,166.30000,166.49001,159.42999
18484,20200512,160.05000,168.23000,161.03999,160.89999,161.05000,168.00000
18484,20200513,159.17000,171.50000,167.14000,167.13000,167.14000,163.61000
18484,20200514,162.89000,170.80000,167.91000,167.89999,167.98000,168.25999
18484,20200515,166.56000,175.44000,174.83000,174.82001,174.84000,166.75000
18484,20200518,162.64180,173.44000,164.69000,164.63000,164.69000,170.03000
18484,20200519,166.21001,173.86000,173.67999,173.67000,173.67999,167.00000
18484,20200520,170.53000,175.64000,175.48000,175.39999,175.48000,173.53000
18484,20200521,168.36000,177.80000,172.03000,172.03000,172.17999,175.96001
18484,20200522,170.20000,175.89000,171.06000,171.05000,171.28999,171.86000
18484,20200526,163.12000,169.69000,164.00000,163.92000,164.00000,169.10001
18484,20200527,149.16000,162.22000,161.97000,161.98000,162.14999,158.00999
18484,20200528,159.20000,169.39999,163.55000,163.46001,163.55000,159.23000
18484,20200529,167.86000,179.99001,179.48000,179.59000,179.70000,168.00000
18484,20200601,183.00000,205.87000,204.14999,204.10001,204.14999,183.17999
18484,20200602,197.32001,212.69000,208.08000,207.87000,208.08000,210.25000
18484,20200603,202.32001,224.46001,223.87000,223.50000,223.87000,211.70000
18484,20200604,207.60001,223.00000,210.35001,210.33000,210.35001,221.00000
18484,20200605,196.10001,208.94000,207.60001,207.50000,207.60001,200.11000
18484,20200608,198.66000,211.44000,209.83000,209.73000,209.83000,204.35001
18484,20200609,202.92999,210.59000,205.42999,205.30000,205.44000,209.83000
18484,20200610,208.25999,221.53000,221.02000,220.83000,221.00000,208.89000
18484,20200611,218.50000,232.00000,222.07001,221.92999,222.07001,219.17999
18484,20200612,216.75000,231.45000,219.52000,219.52000,219.70000,224.78999
18484,20200615,226.38000,239.59000,239.02000,238.89999,239.02000,227.84000
18484,20200616,231.82060,243.50000,242.56000,242.45000,242.56000,235.99001
18484,20200617,235.12000,243.88000,236.75999,236.66000,236.75000,243.17999
18484,20200618,238.22000,242.61000,241.57001,241.39999,241.60001,240.39000
18484,20200619,238.70351,243.57001,243.48000,243.12000,243.47000,241.64000
18484,20200622,247.28999,254.89999,251.27000,251.10001,251.21001,247.46500
18484,20200623,247.57001,254.77499,252.81000,252.80000,252.89999,251.25999
18484,20200624,248.60001,258.75000,255.89999,255.78000,255.89999,254.50000
18484,20200625,252.66010,260.29001,259.51001,259.51001,259.63000,258.23001
18484,20200626,250.36000,261.62000,256.79999,256.59000,256.60001,260.51999
18484,20200629,243.59000,255.89999,248.56000,248.56000,248.72000,254.97000
18484,20200630,248.35001,256.82999,253.53999,253.53999,253.55000,249.87000
18484,20200701,247.21001,261.00000,259.13000,259.17999,259.23001,251.35001
18484,20200702,258.00000,263.79999,261.73999,261.59000,261.73999,261.00000
18484,20200706,259.32001,275.07999,261.00000,260.79999,260.98999,265.00000
18484,20200707,258.10001,266.45001,262.10001,262.09000,262.10001,261.54999
18484,20200708,261.29001,268.52811,266.32001,266.29001,266.38000,263.79999
18484,20200709,264.22000,272.70001,269.51999,269.57001,269.67999,269.01001
18484,20200710,268.64001,278.16000,275.87000,275.79999,275.85999,271.76999
18484,20200713,256.33759,281.00000,260.29999,260.25000,260.29999,278.63000
18484,20200714,240.45000,265.32999,260.01001,259.85999,260.01001,260.95999
18484,20200715,248.12000,257.50000,256.22000,256.10999,256.22000,253.70000
18484,20200716,243.42999,253.00000,248.53999,248.38000,248.53999,250.39000
18484,20200717,241.28999,250.93680,246.53999,246.55000,246.64999,247.17000
18484,20200720,245.99001,271.35001,268.57999,268.44000,268.57999,246.48700
18484,20200721,258.20001,269.75000,260.44000,260.42999,260.44000,268.75000
18484,20200722,255.81000,265.39999,261.17999,261.07001,261.17999,261.95001
18484,20200723,249.21001,264.89999,251.50000,251.28999,251.50000,260.84000
18484,20200724,237.20000,250.21001,246.56000,246.56000,246.80000,246.20000
18484,20200727,246.22000,252.97000,252.33000,252.03000,252.33000,249.28000
18484,20200728,251.32001,258.91000,252.17999,252.17000,252.50999,252.70000
18484,20200729,251.14999,259.92999,252.39000,252.35001,252.39000,255.55000
18484,20200730,239.32001,256.32629,250.00000,249.92999,250.00000,250.31351
18484,20200731,248.36011,255.20000,253.91000,253.91000,253.94000,253.50000
18484,20200803,256.10999,271.10001,268.00000,267.91000,267.98001,256.82999
18484,20200804,262.00000,269.19000,267.34000,267.34000,267.51999,268.00000
18484,20200805,262.51999,275.09390,272.89999,272.79999,272.89999,266.29001
18484,20200806,263.91000,274.48001,268.25000,268.25000,268.28000,273.87000
18484,20200807,252.78999,268.00000,258.73001,258.60001,258.73001,266.45001
18484,20200810,244.53999,261.44000,250.00000,249.81000,250.00000,259.14001
18484,20200811,230.00000,245.48000,231.03999,230.99001,231.03999,245.48000
18484,20200812,230.75000,239.39999,236.72000,236.69000,236.72000,232.30000
18484,20200813,238.14999,250.10001,247.25000,247.08000,247.25000,238.14999
18484,20200814,242.39999,252.42990,244.91000,244.55000,244.91000,249.44000
18484,20200817,248.50999,267.94000,266.14999,266.00000,266.14001,248.70000
18484,20200818,265.50000,277.78000,276.79999,276.79999,277.00000,271.72000
18484,20200819,270.32211,279.59000,273.51001,273.51001,273.75000,274.68491
18484,20200820,273.98999,290.88000,290.69000,290.57999,290.69000,274.45001
18484,20200821,286.94421,295.97000,289.67999,289.67999,289.78000,291.00000
18484,20200824,274.10590,293.87000,282.28000,282.28000,282.47000,293.00000
18484,20200825,275.81009,293.72159,290.44000,290.20999,290.32001,279.00000
18484,20200826,290.85001,302.00000,295.26999,295.17001,295.26999,293.00000
18484,20200827,290.32999,301.51999,294.67999,294.67999,294.92999,295.69000
18484,20200828,297.26001,303.57999,299.26999,299.06000,299.26999,299.22000
18484,20200831,301.26999,325.89981,325.10001,325.10001,325.25000,304.01001
18484,20200901,410.67999,478.00000,457.69000,457.50000,457.72000,439.51001
18484,20200902,410.00000,445.67001,423.56000,423.54999,423.64001,445.67001
18484,20200903,367.00000,409.89999,381.32001,381.31000,381.38000,399.54999
18484,20200904,346.76001,386.01001,369.89001,369.88000,369.95001,375.50000
18484,20200908,345.67999,365.49991,350.88000,350.59000,350.88000,350.70001
18484,20200909,362.12341,394.79919,389.64999,389.42001,389.64999,369.75000
18484,20200910,378.35999,407.82001,384.48001,384.48001,384.62000,400.00000
18484,20200911,373.04999,400.75040,383.00000,382.60001,383.06000,389.13000
18484,20200914,386.13000,404.35999,403.51001,403.34000,403.51001,391.74500
18484,20200915,391.05011,413.50000,410.94000,410.88000,410.94000,410.00000
18484,20200916,404.22000,419.42001,408.17001,408.04999,408.17001,406.27399
18484,20200917,387.00000,417.82001,413.12500,413.12000,413.13000,389.00000
18484,20200918,407.50000,442.00000,438.73001,438.84000,439.00000,419.79999
18484,20200921,434.00000,470.00000,468.47000,468.14999,468.23999,434.00000
18484,20200922,458.75000,494.89990,492.60001,492.57001,492.57999,477.00000
18484,20200923,483.25339,529.73999,500.53000,500.67999,501.00000,489.48999
18484,20200924,457.69000,502.25000,464.98001,464.89001,465.17999,487.01001
18484,20200925,474.87000,500.00000,496.50000,496.10001,496.50000,474.87000
